Row Label,County,Kevin Van De Wege
601 Queets,JE,25
704 Port Townsend,JE,214
101 Gardiner,JE,141
501 Port Ludlow I,JE,428
200 Coyle,JE,167
708 Port Townsend,JE,534
302 Center I,JE,204
702 Port Townsend,JE,239
306 Irondale II,JE,343
300 Chimacum I,JE,223
102 Port Discovery,JE,152
105 Discovery Bay,JE,386
305 Irondale I,JE,269
710 Port Townsend,JE,317
500 Port Ludlow,JE,365
106 North Jacob,JE,291
503 Port Ludlow III,JE,249
301 Chimacum II,JE,147
706 Port Townsend,JE,610
401 Nordland,JE,372
502 Port Ludlow II,JE,275
505 Port Ludlow V,JE,303
709 Port Townsend,JE,496
303 Hadlock,JE,352
304 Kala Point,JE,419
107 South Jacob,JE,375
201 Quilcene,JE,318
308 Center II,JE,133
705 Port Townsend,JE,243
204 Brinnon,JE,405
707 Port Townsend,JE,504
104 Cape George,JE,404
103 Crocker,JE,121
600 Hoh,JE,27
703 Port Townsend,JE,279
700 Port Townsend,JE,393
504 Port Ludlow IV,JE,188
Total,JE,11338
701 Port Townsend,JE,198
307 Four Corners,JE,229
