Row Label,County,Lisa O'Toole,Marcus Naylor
BOTHELL 40,SN,172,109
BOTHELL 41,SN,188,98
BOTHELL 42,SN,189,133
BOTHELL 43,SN,111,79
BOTHELL 44,SN,130,77
BOTHELL 45,SN,82,51
BOTHELL 46,SN,160,82
BOTHELL 47,SN,149,126
BOTHELL 31,SN,149,125
BOTHELL 33,SN,145,91
BOTHELL 32,SN,121,61
BOTHELL 35,SN,127,90
BOTHELL 34,SN,166,119
BOTHELL 37,SN,190,128
BOTHELL 36,SN,135,97
BOTHELL 39,SN,115,79
BOTHELL 38,SN,146,93
Total,SN,2475,1638
