Row Label,County,Ross Hunter,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Bill Hirt
MED 48-0749,KI,183,485,24,285,0,1,77
RED 48-3313,KI,264,667,30,384,0,1,89
BEL 48-0149,KI,163,416,12,234,0,1,58
RED 48-0951,KI,157,379,10,223,0,0,56
RED 48-0950,KI,142,444,16,214,0,0,56
RED 48-0953,KI,251,758,36,418,0,0,131
RED 48-0952,KI,99,311,11,160,0,0,50
BEL 48-0142,KI,113,299,9,159,0,0,37
BEL 48-0143,KI,108,291,8,152,0,0,36
BEL 48-0140,KI,146,425,17,234,0,1,70
BEL 48-0146,KI,104,298,16,173,0,3,50
BEL 48-0147,KI,127,444,11,207,0,0,69
BEL 48-0144,KI,105,320,13,169,0,3,48
BEL 48-0145,KI,105,274,7,137,0,0,25
BEL 48-0212,KI,204,620,15,303,0,1,83
BEL 48-0213,KI,110,395,6,175,0,1,58
KIR 48-3439,KI,212,531,27,324,0,0,85
BEL 48-0216,KI,80,256,7,140,0,0,53
BEL 48-0217,KI,114,404,15,184,0,0,55
BEL 48-0214,KI,79,274,9,130,0,0,42
BEL 48-0218,KI,220,546,21,338,0,1,96
KIR 48-2920,KI,118,381,17,189,0,0,54
KIR 48-0639,KI,147,387,11,218,0,0,60
KIR 48-0638,KI,146,551,23,281,0,0,112
KIR 48-0636,KI,152,449,21,248,0,1,74
KIR 48-0633,KI,192,468,19,285,0,0,74
RED 48-0948,KI,82,246,6,124,0,0,36
RED 48-0949,KI,174,433,8,234,0,0,52
KIR 48-3401,KI,203,632,27,342,0,1,111
MED 48-0751,KI,181,510,14,331,0,1,135
BEL 48-2559,KI,157,431,17,259,0,0,85
RED 48-0941,KI,138,331,8,205,0,0,59
BEL 48-2715,KI,202,471,20,298,0,0,76
RED 48-0947,KI,147,360,15,215,0,0,53
RED 48-0944,KI,133,375,16,217,0,1,67
BEL 48-2716,KI,161,593,13,230,0,0,56
RED 48-2629,KI,204,648,17,295,0,1,73
BEL 48-0138,KI,117,393,8,179,0,1,53
BEL 48-3143,KI,135,377,12,202,0,0,55
BEL 48-0136,KI,73,274,12,113,0,0,28
BEL 48-0135,KI,73,256,9,127,0,0,45
BEL 48-0134,KI,93,324,7,143,0,0,43
BEL 48-0133,KI,106,307,6,143,0,0,31
BEL 48-0132,KI,96,249,4,134,0,1,33
BEL 48-3144,KI,175,481,20,274,0,0,79
C-H 48-0323,KI,151,440,10,258,0,0,97
C-H 48-0322,KI,73,252,14,159,0,0,72
C-H 48-0321,KI,129,356,8,216,0,1,78
C-H 48-0326,KI,81,268,11,161,0,0,69
C-H 48-0325,KI,163,446,17,276,0,1,95
C-H 48-0324,KI,173,434,15,265,0,0,77
RED 48-3664,KI,180,594,22,243,0,1,40
KIR 48-0628,KI,236,664,23,356,0,0,97
KIR 48-0629,KI,243,587,23,344,0,0,78
KIR 48-3337,KI,271,809,33,463,0,0,159
RED 48-3391,KI,309,704,23,404,0,0,72
RED 48-0939,KI,162,457,20,255,0,0,73
RED 48-0938,KI,74,288,10,106,0,1,21
