Row Label,County,Terri Miller
Usk,PE,129
Diamond Lk East,PE,89
Sacheen,PE,182
Diamond Lk,PE,279
Diamond Lk West,PE,116
Noble,PE,231
Furport,PE,168
Deer Valley South,PE,58
Cusick,PE,85
Ione East,PE,118
Kalispel Leclerc,PE,113
Tiger Dry Canyon,PE,211
Ruby,PE,22
Ione West,PE,131
Newport NE,PE,186
Metaline,PE,64
Newport SE,PE,87
Skookum,PE,46
Newport NW,PE,172
Newport SW,PE,137
Dalkena,PE,214
Deer Valley North,PE,140
Locke,PE,29
Fertile Valley South,PE,100
Fertile Valley North,PE,98
Camden,PE,88
Total,PE,3408
Metaline Falls,PE,115
