Row Label,County,Yes,No
HARRINGTON IN,LI,58,89
LONG LAKE,LI,24,53
S REARDAN RURAL,LI,11,42
DAVENPORT RURAL,LI,34,61
IRBY,LI,9,21
KELLER,LI,21,46
LAMONA,LI,12,14
HAWK CREEK,LI,36,41
EDWALL,LI,17,54
MOHLER,LI,17,37
EGYPT,LI,47,75
WEST LARENE,LI,20,24
SPRAGUE RURAL,LI,37,72
WHEATLAND,LI,38,55
EAST LARENE,LI,34,60
GRAVELLE,LI,9,31
GRAND COULEE,LI,15,23
REARDAN IN,LI,85,131
PEACH,LI,60,67
ALMIRA RURAL,LI,10,27
N REARDAN RURAL,LI,18,29
HARR RURAL,LI,14,44
GOVAN,LI,9,12
LAKEVIEW,LI,56,67
ODESSA IN,LI,150,190
SPRAGUE IN,LI,71,65
RIVERVIEW,LI,73,87
ENOS,LI,3,16
LAYTON,LI,9,10
CANBY,LI,14,26
EARL,LI,12,21
WILBUR RURAL,LI,33,63
WAUKON,LI,15,31
WILBUR IN,LI,144,213
DOWNS,LI,5,18
SHERMAN,LI,14,51
MONDOVI,LI,32,55
ALMIRA IN,LI,37,62
SPRING CREEK,LI,31,48
SEVEN BAYS,LI,31,39
CRESTON RURAL,LI,11,47
CRESTON IN,LI,54,36
ODESSA RURAL,LI,38,56
WILSON CREEK,LI,7,26
Total,LI,1757,2711
DAVENPORT IN,LI,274,364
BLUESTEM,LI,8,12
