Row Label,County,Dave Peterson,Gerald (Gary) Chaney
LEMOLO 435,KP,242,177
ANNAPOLIS 212,KP,355,282
MEADOWDALE 150,KP,165,196
BELLA VISTA 413,KP,233,175
LIGHTHOUSE POINT 292,KP,273,246
CLEAR CREEK 120,KP,228,211
AUGUSTA 461,KP,215,77
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,184,157
TORVANGER 345,KP,485,133
BREMERTON 012,KP,64,36
BREMERTON 013,KP,259,114
BREMERTON 015,KP,270,165
BREMERTON 016,KP,72,29
WINSLOW 304,KP,680,149
HIGHLAND 423,KP,164,131
LAKE HELENA 214,KP,178,252
DICKENSON 282,KP,231,243
UNIVERSITY POINT 142,KP,181,149
SANDY HOOK 464,KP,216,138
BARKER CREEK 147,KP,304,258
BAYVIEW 087,KP,81,52
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,364,93
EVERGREEN RIDGE 426,KP,92,98
REGAL 131,KP,66,62
COUNTRY CLUB 113,KP,143,127
POULSBO 405,KP,334,170
POULSBO 404,KP,324,219
POULSBO 407,KP,253,165
POULSBO 406,KP,361,248
SEDGWICK 272,KP,261,269
BERRY LAKE 279,KP,172,148
POULSBO 403,KP,264,183
EBBERT 247,KP,275,247
ILLAHEE 065,KP,303,231
COTTONWOOD 125,KP,227,188
MARION 090,KP,53,33
OLYMPIC 099,KP,34,24
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,219,182
STRIEBEL 453,KP,299,215
AZALEA 302,KP,476,120
YUKON 241,KP,197,173
FOREST RIDGE 126,KP,146,140
FAIRVIEW 135,KP,143,147
ANDERSON CREEK 163,KP,191,227
PORT GAMBLE 450,KP,274,209
RAINIER 067,KP,284,233
BRASCH 213,KP,234,277
GAMBLEWOOD 454,KP,190,147
CENTRAL VALLEY 128,KP,263,249
HOLLY 158,KP,72,59
BURLEY 218,KP,264,267
LUOTO 122,KP,107,162
POINT JEFFERSON 419,KP,258,154
BREMERTON 296,KP,0,0
MORKEN 161,KP,322,330
INDIANOLA 420,KP,490,148
TWIN LAKES 285,KP,63,79
BELFAIR VALLEY 280,KP,82,87
KARIOTIS 143,KP,260,216
TRACYTON 170,KP,187,151
ROCKY POINT 083,KP,357,242
HERITAGE PARK 112,KP,171,187
BREMERTON 294,KP,0,0
ORCA 421,KP,227,125
MINTERBROOK 216,KP,106,129
ALASKA 221,KP,341,261
GLENWOOD 232,KP,276,352
MEADOWMEER 321,KP,183,48
APEX 162,KP,267,305
OLALLA 265,KP,193,187
WINSTON 129,KP,110,98
RIDGETOP 149,KP,167,190
EAGLE CREST 164,KP,315,245
LOCKER 246,KP,319,325
BROWNSVILLE 105,KP,336,315
KINGSTON 430,KP,436,290
VENA 173,KP,236,177
CEDAR 211,KP,231,205
BREMERTON 041,KP,229,124
BREMERTON 040,KP,274,122
POULSBO 401,KP,361,258
BREMERTON 046,KP,255,159
CAMBRIDGE 144,KP,143,162
BREMERTON 056,KP,220,151
TWIN SPITS 417,KP,361,223
BIG VALLEY 441,KP,192,174
CHARLAND 110,KP,177,181
SKIFF POINT 328,KP,351,77
LOST HIGHWAY 157,KP,234,279
TRIDENT 101,KP,34,66
WILSON CREEK 242,KP,241,185
SYLVAN 066,KP,293,168
PORT ORCHARD 201,KP,260,151
EVERGREEN 257,KP,364,310
FERNWOOD 230,KP,285,298
MANCHESTER 255,KP,238,172
SUNNYSLOPE 281,KP,184,214
LOFALL 442,KP,377,316
BLAKELY 310,KP,357,90
PORT ORCHARD 207,KP,224,198
WOODMERE 127,KP,283,271
BREMERTON 058,KP,280,162
UELAND 082,KP,0,0
WATERMAN 295,KP,168,159
BREMERTON 054,KP,151,92
PIONEER 152,KP,329,276
SILVERDALE 160,KP,271,229
BREMERTON 051,KP,20,22
BREMERTON 052,KP,175,118
BREMERTON 053,KP,322,230
SEABECK 155,KP,307,393
PARKWOOD 270,KP,290,244
ISLAND LAKE 427,KP,216,225
BREMERTON 109,KP,19,18
BREIDABLIK 410,KP,285,206
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,219,285
FRAGARIA 259,KP,236,219
LOVGREN 332,KP,237,65
BANDIX 263,KP,261,295
FORT WARD 318,KP,411,99
FUSON 175,KP,220,218
HARPER 240,KP,289,157
WILLOCK 258,KP,222,211
LIBERTY 325,KP,339,101
PORT ORCHARD 203,KP,130,107
SPRING CREEK 217,KP,191,171
MULLENIX 260,KP,273,282
LARSON 153,KP,283,303
FINCH 314,KP,299,87
ROLLING BAY 330,KP,390,116
BREMERTON 029,KP,256,126
TOTTEN 463,KP,281,114
WOODRIDGE 222,KP,123,160
MANZANITA 336,KP,293,70
OLD FRONTIER 106,KP,254,319
BREMERTON 022,KP,193,116
NEBRASKA 223,KP,225,222
EAGLE HARBOR 317,KP,307,68
NEW BROOKLYN 322,KP,258,66
TOLO 333,KP,327,114
FERNCLIFF 315,KP,543,144
S&#39;KLALLAM 418,KP,41,2
PORT ORCHARD 202,KP,277,233
NAVY YARD CITY 095,KP,257,169
PORT ORCHARD 200,KP,139,87
SANTA FE 148,KP,210,186
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,140,171
PORT ORCHARD 204,KP,225,169
PORT ORCHARD 205,KP,496,471
HUNTER 219,KP,172,225
CONIFER 271,KP,141,118
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,292,292
SCANDIA 455,KP,238,260
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,293,97
ALPINE 111,KP,211,181
LUNDBERG 250,KP,247,237
POINT NO POINT 416,KP,462,301
VINLAND 412,KP,313,264
LINCOLN 440,KP,222,218
BREMERTON 032,KP,43,16
OVERLOOK 267,KP,249,139
BREMERTON 030,KP,238,145
BREMERTON 031,KP,139,82
BREMERTON 037,KP,292,269
APPLE TREE 422,KP,351,191
ERLANDS POINT 130,KP,194,151
RIDGEPOINT 141,KP,180,177
PERRY 073,KP,166,114
CRYSTAL SPRINGS 312,KP,545,137
CRESCENT VALLEY 266,KP,252,252
SHERMAN HEIGHTS 278,KP,12,6
SPINNAKER 146,KP,190,136
SINCLAIR 275,KP,123,122
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,614,98
SYMINGTON 151,KP,140,126
PORT ORCHARD 210,KP,150,160
FRONTIER 102,KP,262,292
RIDGEWAY 084,KP,54,74
WING POINT 305,KP,297,118
PEARSON 445,KP,336,330
BREMERTON 114,KP,0,0
SEABOLD 335,KP,448,142
TIBARDIS 139,KP,119,102
BREMERTON 007,KP,5,5
BREMERTON 006,KP,185,77
BREMERTON 005,KP,188,86
SUQUAMISH 460,KP,284,89
BREMERTON 003,KP,250,138
BREMERTON 002,KP,124,71
BREMERTON 001,KP,179,63
BUCKLIN 121,KP,277,241
MADRONA 269,KP,186,155
DRIVE-IN 283,KP,4,8
MILLER BAY 458,KP,339,268
CONVERSE 252,KP,197,218
LONG LAKE 245,KP,166,174
BREMERTON 088,KP,39,34
BREMERTON 159,KP,146,113
SUTTON 165,KP,164,145
OLYMPIC VIEW 103,KP,210,179
Total,KP,46463,33626
