Row Label,County,Repealed,Maintained
669,CR,262,283
668,CR,329,270
667,CR,187,220
664,CR,308,259
663,CR,190,196
662,CR,291,288
660,CR,288,281
130,CR,248,346
571,CR,281,254
490,CR,212,247
491,CR,14,32
626,CR,263,249
692,CR,299,274
693,CR,178,144
690,CR,248,348
691,CR,296,238
696,CR,311,352
697,CR,319,381
694,CR,108,102
695,CR,280,318
698,CR,234,306
699,CR,205,311
450,CR,276,398
540,CR,342,328
340,CR,261,282
400,CR,161,159
595(*),CR,0,0
930,CR,307,283
452,CR,230,285
935,CR,295,289
570,CR,307,272
678,CR,217,213
679,CR,198,167
674,CR,235,251
675,CR,171,226
677,CR,252,310
670,CR,298,292
672,CR,267,198
455,CR,215,192
120,CR,287,363
575,CR,87,84
914,CR,287,268
917,CR,225,154
528,CR,320,262
910,CR,303,219
537,CR,124,113
415,CR,217,180
535,CR,433,326
410,CR,317,345
913,CR,319,351
298,CR,166,170
530,CR,147,122
296,CR,214,176
370,CR,199,209
294,CR,191,162
912,CR,226,249
925,CR,258,247
290,CR,282,266
538,CR,149,143
591,CR,364,409
590,CR,393,363
593,CR,341,291
592,CR,354,371
594,CR,11,11
597,CR,43,28
200,CR,262,315
598,CR,6,12
629,CR,279,229
700,CR,51,47
190,CR,267,342
985,CR,246,223
390,CR,336,319
110,CR,247,382
113,CR,182,114
112,CR,28,23
250,CR,334,313
536,CR,192,154
628,CR,325,245
524,CR,47,33
525,CR,202,197
527,CR,253,260
520,CR,179,161
521,CR,10,4
522,CR,123,99
523,CR,10,10
420,CR,250,303
423,CR,204,212
255,CR,261,263
425,CR,171,253
424,CR,293,334
360,CR,271,305
426,CR,323,395
586,CR,257,211
587,CR,237,243
449,CR,352,389
448,CR,295,410
582,CR,204,238
583,CR,231,234
580,CR,203,194
581,CR,151,131
441,CR,250,307
440,CR,294,284
447,CR,275,443
446,CR,234,326
445,CR,334,372
444,CR,352,360
245,CR,268,330
920,CR,220,275
108,CR,240,299
240,CR,309,383
102,CR,189,255
100,CR,254,370
615,CR,129,150
106,CR,218,285
649,CR,230,241
104,CR,246,334
903,CR,329,226
900,CR,294,223
905,CR,302,301
641,CR,113,111
640,CR,294,249
643,CR,277,219
642,CR,131,122
645,CR,306,381
644,CR,274,327
647,CR,162,253
646,CR,135,135
436,CR,155,170
510,CR,218,205
434,CR,189,224
435,CR,204,207
515,CR,336,342
430,CR,203,203
588,CR,178,145
579,CR,11,13
578,CR,30,30
627,CR,289,240
338,CR,277,275
625,CR,352,255
624,CR,67,69
335,CR,215,219
451,CR,263,285
337,CR,248,269
453,CR,228,294
577,CR,389,360
330,CR,275,279
456,CR,350,403
574,CR,12,15
600,CR,174,135
175,CR,204,189
257,CR,269,291
170,CR,231,240
543,CR,299,289
654,CR,213,166
656,CR,161,128
710,CR,123,120
180,CR,243,196
655,CR,283,206
652,CR,295,212
653,CR,259,204
650,CR,268,265
651,CR,196,191
505,CR,358,339
502,CR,268,257
503,CR,189,235
500,CR,326,308
659,CR,251,302
630,CR,241,207
631,CR,271,357
632,CR,167,134
633,CR,285,208
634,CR,258,228
635,CR,231,188
636,CR,249,219
560,CR,278,290
639,CR,239,247
545,CR,201,217
460,CR,363,404
566,CR,203,169
225,CR,318,434
160,CR,193,220
220,CR,218,200
964,CR,243,341
965,CR,245,330
966,CR,161,218
967,CR,154,198
960,CR,287,390
961,CR,57,50
962,CR,198,253
963,CR,199,240
968,CR,203,278
969,CR,172,156
658,CR,238,257
720,CR,199,231
947,CR,234,234
605,CR,286,277
150,CR,179,162
153,CR,186,201
606,CR,65,45
395,CR,96,87
603,CR,211,171
555,CR,333,330
550,CR,371,347
553,CR,244,292
584,CR,279,212
681,CR,227,223
959,CR,18,11
958,CR,46,52
951,CR,238,251
950,CR,256,249
953,CR,91,148
957,CR,47,75
638,CR,273,210
327,CR,304,294
585,CR,308,365
325,CR,217,207
620,CR,337,318
147,CR,242,228
618,CR,264,384
563,CR,312,306
613,CR,128,158
610,CR,363,408
617,CR,315,249
565,CR,214,250
511,CR,18,15
648,CR,213,250
487,CR,141,135
485,CR,215,215
673,CR,269,356
483,CR,385,390
573,CR,324,370
480,CR,360,422
686,CR,208,198
432,CR,181,233
576,CR,4,2
940,CR,286,250
680,CR,201,270
470,CR,332,406
689,CR,307,273
688,CR,242,229
350,CR,234,231
685,CR,84,66
687,CR,247,251
Total,CR,56700,58668
572,CR,337,360
596(*),CR,0,0
683,CR,238,283
682,CR,251,242
