Row Label,County,Yvonne Goldsmith,Jon Mutchler,Wes Kentch,Richard May,Karl Uppiano,Chris Johnson,John K. Munson,Ralph Black,Eileen Sobjack,John Lesow,Linda Cain,Nick Evans
111    ,WM,160,159,183,137,142,123,76,51,183,103,103,115
135,WM,150,97,116,183,96,179,99,31,141,131,79,90
106    ,WM,139,140,116,131,114,109,73,43,147,84,100,94
508    ,WM,183,181,177,129,157,129,102,44,192,88,93,109
115,WM,192,194,233,112,188,109,75,35,254,78,97,96
114,WM,92,90,113,74,73,74,52,22,128,50,63,58
117,WM,120,178,180,71,188,46,44,24,211,44,64,107
116,WM,130,153,159,52,178,43,26,24,178,37,50,70
137,WM,92,145,48,184,55,112,68,107,91,89,57,48
110,WM,111,158,127,129,127,108,82,83,155,99,102,108
113,WM,135,139,217,126,154,90,70,29,206,90,92,99
112,WM,85,91,64,65,75,54,51,41,101,49,48,58
138,WM,135,88,101,263,78,240,139,23,133,250,64,60
118,WM,173,210,244,106,225,97,68,39,243,70,107,130
268,WM,7,5,6,8,3,8,10,3,10,2,4,7
507    ,WM,125,185,138,121,137,93,72,26,171,87,81,101
136    ,WM,108,98,120,154,97,167,97,32,146,120,86,94
509    ,WM,132,107,114,117,83,84,69,42,132,76,66,92
504,WM,112,124,87,92,90,66,60,18,98,66,37,54
505,WM,195,207,167,191,134,156,103,44,208,136,110,115
502,WM,149,154,142,124,103,115,94,40,127,100,73,85
503,WM,158,209,167,178,150,143,100,38,195,145,93,120
501,WM,152,201,139,124,154,95,75,51,161,97,74,100
124    ,WM,118,86,106,79,100,68,53,23,127,70,57,77
203,WM,187,138,168,199,109,163,101,38,196,151,98,120
202,WM,110,92,95,118,80,118,81,27,143,101,68,55
205,WM,103,64,76,133,77,127,63,37,109,104,57,63
204,WM,66,59,54,86,53,87,47,14,83,55,47,40
207,WM,94,53,71,150,48,143,80,14,90,130,47,50
206,WM,151,93,115,206,72,210,114,43,153,170,98,89
119    ,WM,80,79,84,87,69,84,56,22,106,66,57,51
301,WM,190,177,156,224,133,149,93,95,191,127,143,118
302,WM,182,145,134,247,116,169,79,78,210,146,146,146
303,WM,158,189,147,231,130,142,98,38,180,170,127,111
120,WM,174,184,221,113,175,98,76,42,203,87,78,104
121,WM,134,144,135,68,113,67,56,24,150,56,72,77
122,WM,120,130,152,74,102,86,49,40,142,56,73,80
123,WM,108,112,153,80,100,87,51,27,134,69,48,42
125,WM,148,171,174,101,165,107,66,52,199,76,80,99
129,WM,176,164,194,134,166,109,105,29,204,98,107,110
127,WM,223,241,257,202,217,173,118,48,266,152,130,135
102,WM,115,97,91,124,117,104,57,37,147,95,90,78
103,WM,147,143,117,178,114,158,86,36,192,152,113,95
101,WM,141,90,63,222,94,189,72,40,103,298,79,82
107,WM,194,169,165,201,142,164,97,74,235,125,149,126
104,WM,91,121,84,106,85,63,56,38,125,76,59,66
105,WM,79,65,71,93,56,82,57,36,83,69,52,51
133,WM,87,148,69,179,60,93,65,100,96,80,68,65
126    ,WM,222,194,210,187,187,164,133,58,249,130,133,130
132,WM,112,148,168,117,110,115,82,31,153,82,86,90
506    ,WM,176,174,144,149,122,136,100,48,151,114,83,93
108,WM,176,179,202,182,187,165,98,52,248,127,133,130
131,WM,196,219,200,171,186,156,110,41,222,117,86,151
130,WM,95,103,133,77,97,74,65,26,139,51,58,73
201    ,WM,256,189,171,300,162,249,146,60,249,239,133,170
304    ,WM,66,51,33,70,43,50,32,32,62,48,44,31
134    ,WM,180,143,134,264,119,229,158,66,174,226,130,134
Total,WM,7890,7867,7705,8023,6707,6818,4505,2356,9125,6004,4772,5142
