Row Label,County,Kevin M. Korsmo
MILL CREEK,ST,106
KETTLE FALLS 1,ST,210
COLUMBIA,ST,276
ARDEN 1,ST,168
COLVILLE 1,ST,102
COLVILLE 2,ST,121
DAISY,ST,113
COLVILLE 4,ST,253
COLVILLE 5,ST,200
COLVILLE 6,ST,137
COLVILLE 7,ST,143
COLVILLE VALLEY,ST,324
STONE LODGE,ST,249
ECHO VALLEY,ST,135
LOON LAKE 2,ST,179
NARCISSE,ST,235
LOON LAKE 1,ST,326
COLVILLE 3,ST,132
CAMAS PRAIRIE,ST,131
EVANS,ST,129
SPRINGDALE,ST,48
MEYERS FALLS 2,ST,291
NORTHPORT,ST,70
SUMMIT,ST,164
KELLY HILL,ST,54
CLAYTON 2,ST,263
CLAYTON 1,ST,158
ARDEN 2,ST,203
MEYERS FALLS 1,ST,182
WAITTS LAKE,ST,246
WELLPINIT,ST,116
CHEWELAH 3,ST,148
HUNTERS,ST,233
ONION CREEK,ST,80
CHEWELAH 2,ST,93
CHEWELAH 1,ST,193
ECHO,ST,234
QUARTZITE 1,ST,335
QUARTZITE 2,ST,193
TUM TUM 5,ST,246
TUM TUM 4,ST,207
ROCK CUT,ST,43
TUM TUM 1,ST,153
TUM TUM 3,ST,340
TUM TUM 2,ST,299
MARCUS,ST,35
Total,ST,10083
FIRST THOUGHT,ST,29
WALKERS PRAIRIE,ST,191
CAMAS,ST,202
ADDY,ST,239
WILLIAMS VALLEY,ST,293
ORIN 1,ST,147
ORIN 2,ST,173
KETTLE FALLS 2,ST,141
CHEWELAH FORE,ST,102
RICE,ST,102
VALLEY 1,ST,27
VALLEY 2,ST,141
