Row Label,County,Mark McClain,David Burke
North Cove,PA,146,143
North River,PA,11,23
South Bend 1 R,PA,50,5
Ocean Park 2,PA,235,236
Ocean Park 1,PA,104,89
Nemah,PA,25,16
Pioneer,PA,134,99
Willapa,PA,309,125
Pioneer 2,PA,132,78
Raymond W1p2,PA,91,40
Raymond W1p3,PA,113,38
Raymond W3 R,PA,36,12
Raymond W2 R,PA,35,20
Menlo-Firdale,PA,261,113
Klipsan,PA,165,162
Eklund Park,PA,50,26
Baleville,PA,51,32
Smith Creek,PA,53,19
South Bend 3R,PA,2,4
Frances-Lebam,PA,116,60
Raymond W2,PA,102,62
Bay Center,PA,105,59
Raymond W1p1,PA,28,4
Ilwaco 2 Rural,PA,38,29
Chinook,PA,137,101
Naselle,PA,256,228
Ilwaco City,PA,203,134
Seaview 2,PA,25,6
Seaview 1,PA,162,127
South Fork,PA,78,60
South Bend 2R(*),PA,0,0
Nahcotta,PA,369,353
Long Beach,PA,258,240
South Bend 2,PA,77,35
Raymond W3,PA,164,84
Oysterville,PA,208,190
Total,PA,4579,3174
South Bend 1,PA,125,77
Ilwaco 1 Rural(*),PA,0,0
South Bend 3,PA,117,43
