Row Label,County,Levy Yes,Levy No
Westslope 1 053,GR,27,64
George Rural 016,GR,207,304
Quincy 6 041,GR,290,178
Quincy 1 039,GR,141,129
Quincy 4 040,GR,72,84
Quincy Rural S 064,GR,287,282
Block 71 003,GR,14,22
George 015,GR,17,20
Westslope 2 059,GR,17,19
Total,GR,1190,1217
Quincy Rural N 042,GR,118,115
