Row Label,County,Susan J. Marinella
ALTO,CU,56
TOUCHET,CU,145
STARBUCK COUNTRY,CU,18
STAR,CU,82
MUSTARD,CU,148
DAYTON,CU,181
PING,CU,152
BROOKLYN,CU,161
TUCANNON,CU,55
STARBUCK CITY,CU,54
COLUMBIA,CU,212
RAINWATER,CU,125
Total,CU,1522
PATIT,CU,133
