Row Label,County,Jeff Morris
ANACORTES 20,SK,470
ANACORTES 21,SK,583
ANACORTES 22,SK,413
MOUNT VERNON 22,SK,494
ANACORTES 24,SK,628
GEAR,SK,273
BURLINGTON 7,SK,155
BOW,SK,398
BURLINGTON 3,SK,83
ANACORTES 5,SK,7
AVON,SK,266
BAY VIEW,SK,250
MARCH POINT,SK,18
POINT WILLIAMS,SK,249
BURLINGTON 2,SK,161
EDISON,SK,179
MOUNT VERNON 14,SK,379
FIDALGO,SK,344
ANACORTES  6,SK,273
ANACORTES  7,SK,601
ANACORTES  4,SK,220
BURLINGTON 4,SK,216
MOUNT VERNON 19,SK,326
ANACORTES  1,SK,287
MOUNT VERNON  4,SK,426
MOUNT VERNON  5,SK,84
MOUNT VERNON  6,SK,262
BURLINGTON 1,SK,142
BURLINGTON 6,SK,153
MOUNT VERNON  1,SK,117
RIVERBEND,SK,17
MOUNT VERNON  3,SK,279
ANACORTES 11,SK,429
ANACORTES 17,SK,550
MAPES,SK,106
BELFAST,SK,153
MOUNT VERNON  2,SK,142
BURLINGTON 5,SK,274
MOUNT VERNON 15,SK,185
VIEW TERRACE,SK,4
PADILLA,SK,67
GUEMES,SK,302
MOUNT VERNON 21,SK,475
LOOKOUT,SK,329
DUNBAR,SK,62
ANACORTES  9,SK,312
BLANCHARD,SK,318
Total,SK,12461
