Row Label,County,Yes,No
Griffin,BE,2,7
215,BE,112,96
Ridge,BE,0,0
Kiona,BE,173,299
210,BE,86,124
Hedges,BE,84,152
Weidle,BE,20,33
Randy,BE,35,94
W2 - P641,BE,100,97
W2 - P640,BE,103,181
135,BE,173,93
165,BE,115,103
W1 - P685,BE,188,207
W1 - P686,BE,161,179
W1 - P680,BE,164,225
W1 - P681,BE,122,162
W1 - P682,BE,191,269
W1 - P683,BE,140,155
El Rancho,BE,253,235
Columbia(*),BE,0,0
Benton South,BE,117,155
W3 - P545,BE,77,84
French,BE,14,24
289,BE,220,236
288,BE,152,130
(none),BE,114,176
Carley(*),BE,0,0
281,BE,258,174
280,BE,208,180
283,BE,133,120
220,BE,95,85
285,BE,273,218
284,BE,112,145
287,BE,101,84
286,BE,147,100
235,BE,111,78
Pearson,BE,2,3
Apricot,BE,32,40
Benton East,BE,0,0
455,BE,141,126
Reata,BE,140,123
W1 - P670,BE,136,133
W3-P511,BE,9,16
W1 - P675,BE,57,83
W1 - P674,BE,100,123
265,BE,141,108
W1 - P676,BE,198,205
Harrington,BE,176,213
W3 - P558,BE,135,267
W3 - P559,BE,145,228
W3 - P552,BE,149,165
W3 - P553,BE,126,149
W3 - P550,BE,147,177
W3 - P551,BE,114,154
W3 - P556,BE,160,225
W3 - P557,BE,124,212
WR 11,BE,114,202
W3 - P555,BE,104,138
WR 17,BE,92,146
130,BE,175,105
WR 16,BE,79,125
Onion(*),BE,0,0
Benton North,BE,139,241
292,BE,134,92
293,BE,81,101
290,BE,172,169
Badger,BE,80,168
Crow Butte,BE,10,22
195,BE,139,110
Washington,BE,34,83
311,BE,0,0
310,BE,179,161
Mills,BE,146,235
Rattlesnake,BE,17,53
Liberty,BE,3,8
115,BE,137,87
271,BE,72,85
W1 - P660,BE,118,171
W1 - P667,BE,78,64
W1 - P664,BE,235,273
W1 - P665,BE,202,181
278,BE,174,177
279,BE,77,53
W1 - P668,BE,232,242
W1 - P669,BE,96,94
175,BE,268,230
Susie,BE,7,30
Walnut Grove,BE,75,129
Kennewick Valley,BE,109,179
Hawthorne,BE,96,89
W3 - P560,BE,83,83
255,BE,115,154
Yellowstone,BE,84,88
Cook,BE,4,11
Celilo,BE,177,185
WR 10,BE,6,24
Black Rock(*),BE,0,0
Orchard,BE,6,14
Reese(*),BE,0,0
300,BE,145,151
301,BE,184,112
Jewel,BE,17,29
305,BE,215,99
W1 - P657,BE,112,129
W1 - P656,BE,83,72
W1 - P655,BE,61,130
Shockley,BE,2,3
240,BE,222,180
W1 - P651,BE,40,30
W1 - P650,BE,148,212
Ivey,BE,64,154
105,BE,103,82
245,BE,92,118
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Cascade,BE,87,170
Gage(*),BE,0,0
WR 1,BE,80,92
W2 - P633,BE,159,167
Cone,BE,69,114
W3 - P540,BE,127,149
160,BE,258,113
291,BE,191,173
282,BE,250,224
Elk,BE,0,0
125,BE,124,83
450,BE,146,170
Salmon,BE,14,57
Umatilla,BE,62,75
W1 - P645,BE,46,21
W1 - P646,BE,39,68
190,BE,199,126
Bobbie,BE,0,0
W2 - P639,BE,86,110
W2 - P601,BE,76,76
W2 - P600,BE,78,78
Riverside,BE,119,205
W2 - P605,BE,112,113
Finley,BE,167,284
170,BE,135,95
W3 - P505,BE,99,116
Buena Vista,BE,166,301
W3 - P500,BE,33,31
Demoss,BE,6,16
Sunny,BE,23,52
180,BE,112,52
316,BE,0,0
Candy(*),BE,0,0
W2 - P570,BE,101,149
186,BE,67,52
Dot,BE,40,106
W2 - P575,BE,50,83
185,BE,100,35
250,BE,148,126
Vineyard(*),BE,0,0
465,BE,143,174
Horse Heaven,BE,15,24
460,BE,135,144
McBee(*),BE,0,0
315,BE,261,231
Enterprise,BE,110,123
W2 - P590,BE,99,102
W2 - P610,BE,101,104
W2 - P595,BE,101,132
Prosser North,BE,116,184
W2 - P615,BE,39,50
270,BE,220,110
W3 - P515,BE,88,73
W3 - P510,BE,59,84
225,BE,128,119
Miller(*),BE,0,0
W2 - P565,BE,57,68
Canyon,BE,118,184
295,BE,151,154
W2 - P560,BE,97,88
Roza,BE,0,0
Edgewater,BE,72,173
W2 - P625,BE,166,141
110,BE,140,125
151,BE,287,239
150,BE,193,199
Vista,BE,58,79
WR 4,BE,189,246
Legion,BE,120,189
Cherry,BE,128,198
Roe(*),BE,0,0
Oak,BE,56,100
WR 9,BE,124,121
WR 8,BE,212,191
W1-P663,BE,131,132
Paterson,BE,6,15
WR 2,BE,85,87
WR 3,BE,61,80
W2 - P626,BE,67,100
W2 - P580,BE,106,88
W3 - P520,BE,46,64
WR 7,BE,203,206
Chandler,BE,18,33
W3 - P525,BE,86,112
W2 - P585,BE,74,88
W2-P574,BE,65,101
230,BE,103,90
Yakima(*),BE,0,0
WR13,BE,104,131
WR14,BE,233,197
WR15,BE,122,147
WR 6,BE,188,245
320,BE,234,209
WR 5,BE,52,69
155,BE,222,195
W2 - P620,BE,76,127
White Bluffs,BE,166,262
200,BE,114,110
145,BE,262,148
205,BE,98,106
140,BE,142,96
275,BE,81,54
W3 - P535,BE,57,75
W2 - P630,BE,126,143
Expansion(*),BE,0,0
Goose Ridge,BE,36,46
W2 - P634,BE,182,206
W2 - P635,BE,165,182
W2 - P636,BE,124,190
W2 - P637,BE,143,207
W2 - P638,BE,150,187
Wheat,BE,0,0
W1 - P691,BE,19,31
W1 - P690,BE,189,197
W3 - P530,BE,92,71
South,BE,91,146
Ida,BE,0,0
120,BE,237,86
Tumble Weed,BE,23,39
Sacagawea(*),BE,0,0
470,BE,105,117
260,BE,126,100
W3-P516,BE,7,7
Red Mountain,BE,120,168
Total,BE,24927,27605
WR12,BE,172,212
Clements,BE,37,33
