Row Label,County,Derek Stanford,Mark Davies
REES,SN,55,74
RAINIER,SN,71,105
CLEARVIEW,SN,180,204
PARKSHORE,SN,128,112
WAXON,SN,247,141
WHEELER,SN,119,167
SNOCADE,SN,200,224
POPLAR,SN,102,67
VALLEY,SN,41,52
KINGMAN,SN,279,181
CRYSTAL CREEK,SN,103,73
CRYSTAL,SN,188,105
GRANNIS,SN,179,125
STAFFORD,SN,101,99
HUNT,SN,2,2
VIEW,SN,154,181
LOST LAKE,SN,125,87
BOTHELL 41,SN,203,153
COUNTRY,SN,132,97
WITHERS,SN,226,147
ELWOOD,SN,154,127
CATHCART,SN,92,134
SAMOEA,SN,178,140
WOODSHIRE,SN,110,151
FALLS,SN,19,21
OLDMARK,SN,208,204
MOUNTLAKE TERRACE  4,SN,145,66
MOUNTLAKE TERRACE  5,SN,173,87
MOUNTLAKE TERRACE  6,SN,148,68
MOUNTLAKE TERRACE  1,SN,173,79
MOUNTLAKE TERRACE  2,SN,169,82
MOUNTLAKE TERRACE  3,SN,183,69
BOTHELL 40,SN,235,132
CAVALRY,SN,137,191
BOTHELL 42,SN,246,162
BOTHELL 43,SN,144,102
BOTHELL 44,SN,148,93
BOTHELL 45,SN,78,86
BOTHELL 46,SN,153,141
BOTHELL 47,SN,182,157
MINOR,SN,176,147
POND,SN,141,139
KENNARD,SN,129,105
WOODLAND,SN,84,78
NORTH CREEK,SN,162,99
WELCH,SN,156,231
CRAWFORD,SN,59,37
SILVER CREEK,SN,154,68
MALTBY,SN,161,155
NEWTON,SN,145,93
THRASHERS,SN,170,97
TURNER,SN,208,252
TAMBARK,SN,149,126
SILER,SN,94,93
MAPLEWOOD,SN,152,146
MOUNTLAKE TERRACE 19,SN,211,103
MOUNTLAKE TERRACE 18,SN,184,102
MOUNTLAKE TERRACE 17,SN,260,116
MOUNTLAKE TERRACE 16,SN,150,54
MOUNTLAKE TERRACE 15,SN,173,75
MOUNTLAKE TERRACE 14,SN,207,94
MOUNTLAKE TERRACE 13,SN,219,83
MOUNTLAKE TERRACE 12,SN,168,94
MOUNTLAKE TERRACE 11,SN,185,74
TOTEM FALLS,SN,183,232
VINE,SN,177,93
KOKANEE,SN,93,86
CREEK,SN,169,183
LOCUST,SN,169,130
WELLINGTON,SN,237,191
SUNSET,SN,237,163
PARADISE,SN,148,203
SOUTH ALDERWOOD,SN,226,148
REDHAWK,SN,194,167
BOTHELL 31,SN,207,146
ATLAS,SN,239,135
BOTHELL 33,SN,170,111
BOTHELL 32,SN,113,108
BOTHELL 35,SN,154,112
BOTHELL 34,SN,216,141
BOTHELL 37,SN,206,185
BOTHELL 36,SN,152,124
BOTHELL 39,SN,140,98
BOTHELL 38,SN,172,128
QUEENS,SN,194,107
BRIER 8,SN,140,100
BRIER 3,SN,287,174
BRIER 2,SN,156,107
BRIER 1,SN,206,117
BRIER 7,SN,157,117
BRIER 6,SN,141,74
BRIER 5,SN,244,152
BRIER 4,SN,229,108
WANDERING CREEK,SN,182,163
GLENBAR,SN,139,97
MERIDIAN,SN,177,163
BEECHER,SN,158,194
DAMSON,SN,222,146
BOSTIAN,SN,104,115
ECHO LAKE,SN,175,217
BATTERY,SN,113,111
BEAR CREEK,SN,138,108
WILLOWDALE,SN,216,123
Total,SN,16929,12909
GATEWAY,SN,142,183
