Row Label,County,Scott D. Furman,Les V. Stokes
JENNINGS LOOP,OK,16,10
MOCCASIN LAKE,OK,65,33
TONASKET CREEK,OK,11,27
FINLEY CANYON,OK,55,45
TUNK CREEK,OK,56,38
NORTH TONASKET,OK,49,31
FLETCHER,OK,37,17
GREENACRES,OK,22,16
OMAK #21,OK,25,5
BUCKHORN MTN,OK,18,34
GLOVER,OK,52,16
OMAK #22,OK,35,14
OMAK #23,OK,17,8
OMAK #24,OK,27,10
WEST CHEWUCH,OK,47,30
OKANOGAN #13,OK,19,10
METHOW,OK,49,37
ELMWAY,OK,35,7
COLUMBIA(*),OK,0,0
TEAL LAKE,OK,22,17
TONASKET RURAL,OK,25,13
NORTH STAR,OK,15,7
NESPELEM CITY,OK,28,3
VALLEY,OK,20,27
OMAK RIVER,OK,30,25
BREWSTER #6,OK,14,7
OWHI,OK,28,9
AENEAS CREEK,OK,22,32
OMAK #19,OK,25,13
PINE CONE,OK,17,19
ASTON,OK,28,12
BREWSTER #2,OK,33,35
BREWSTER #3,OK,23,18
BREWSTER RURAL,OK,28,27
BREWSTER #1,OK,9,18
WHISKY MTN,OK,11,8
BREWSTER #4,OK,10,11
LIME BELT,OK,14,17
ELLISFORDE,OK,32,42
ALMA,OK,36,13
OROVILLE #8,OK,24,15
AENEAS LAKE,OK,28,48
OMAK #13,OK,29,14
SUNSET LAKES,OK,8,11
OMAK #6,OK,36,13
PALMER LAKE,OK,26,22
CARLTON,OK,33,23
OMAK #5,OK,39,17
OMAK #2,OK,37,15
MAZAMA,OK,84,27
FIKER,OK,28,21
OMAK #1,OK,26,9
PATEROS #3,OK,14,18
PATEROS #2,OK,16,24
PATEROS #1,OK,15,25
OMAK #8,OK,24,3
BLACK CANYON,OK,30,20
CANAL,OK,28,13
OKANOGAN #3,OK,22,8
OKANOGAN #1,OK,25,12
OKANOGAN #6,OK,42,18
OKANOGAN #7,OK,21,4
TWISP RURAL,OK,55,26
BONAPARTE,OK,16,15
GUSTY RIDGE,OK,30,11
OROVILLE #7,OK,16,14
ROSS CANYON,OK,39,16
OKANOGAN #9,OK,37,17
OROVILLE #4,OK,22,19
KIPLING,OK,17,21
LONGANECKER,OK,24,10
NORTH OMAK,OK,18,14
OMAK MTN,OK,21,7
AVIATION,OK,25,14
OKANOGAN #5,OK,50,4
RAT LAKE,OK,10,25
WINTHROP #2,OK,58,14
OMAK #7,OK,39,9
OMAK #10,OK,34,19
TWIN LAKES,OK,68,36
OMAK #4,OK,31,13
MOLSON,OK,43,30
YARNELL,OK,15,19
BREWSTER FLAT,OK,29,17
WHITESTONE,OK,21,20
CHEWILIKEN,OK,21,9
COULEE DAM #4,OK,33,9
OMAK #3,OK,17,4
HAVILLAH,OK,47,34
OMAK #20,OK,32,24
PINE CREEK,OK,21,18
EDELWEISS,OK,80,16
BUFFALO LAKE,OK,22,2
POORMAN CREEK,OK,60,53
CHESAW,OK,19,27
PATEROS RURAL,OK,24,29
CAYUSE MTN,OK,22,8
