Row Label,County,Don Dashiell
MILL CREEK,ST,136
KETTLE FALLS 1,ST,257
COLUMBIA,ST,387
ARDEN 1,ST,257
COLVILLE 1,ST,119
COLVILLE 2,ST,145
DAISY,ST,132
COLVILLE 4,ST,321
COLVILLE 5,ST,265
COLVILLE 6,ST,159
COLVILLE 7,ST,171
COLVILLE VALLEY,ST,471
STONE LODGE,ST,294
ECHO VALLEY,ST,183
LOON LAKE 2,ST,191
NARCISSE,ST,345
LOON LAKE 1,ST,378
COLVILLE 3,ST,163
CAMAS PRAIRIE,ST,156
EVANS,ST,165
SPRINGDALE,ST,53
MEYERS FALLS 2,ST,396
NORTHPORT,ST,88
SUMMIT,ST,214
KELLY HILL,ST,83
CLAYTON 2,ST,323
CLAYTON 1,ST,191
ARDEN 2,ST,286
MEYERS FALLS 1,ST,236
WAITTS LAKE,ST,289
WELLPINIT,ST,123
CHEWELAH 3,ST,177
HUNTERS,ST,322
ONION CREEK,ST,91
CHEWELAH 2,ST,105
CHEWELAH 1,ST,226
ECHO,ST,327
QUARTZITE 1,ST,426
QUARTZITE 2,ST,231
TUM TUM 5,ST,273
TUM TUM 4,ST,234
ROCK CUT,ST,61
TUM TUM 1,ST,175
TUM TUM 3,ST,405
TUM TUM 2,ST,357
MARCUS,ST,47
Total,ST,12747
FIRST THOUGHT,ST,46
WALKERS PRAIRIE,ST,208
CAMAS,ST,269
ADDY,ST,322
WILLIAMS VALLEY,ST,374
ORIN 1,ST,206
ORIN 2,ST,255
KETTLE FALLS 2,ST,160
CHEWELAH FORE,ST,125
RICE,ST,139
VALLEY 1,ST,41
VALLEY 2,ST,168
