Row Label,County,Mary E. Fairhurst
DAMMAN,KS,206
VANTAGE,KS,16
PARK,KS,230
TEANAWAY,KS,168
ELLENSBURG 20,KS,54
CLE ELUM 4,KS,172
ELLENSBURG 22,KS,108
ELLENSBURG 23,KS,142
CLE ELUM 1,KS,106
ELLENSBURG 25,KS,233
CLE ELUM 3,KS,34
CLE ELUM 2,KS,76
SOUTH CLE ELUM,KS,118
FAIRVIEW,KS,130
RONALD,KS,88
NORTHEAST FAIRVIEW,KS,222
ELLENSBURG 24,KS,254
ELLENSBURG 9,KS,64
ELLENSBURG 8,KS,59
RIDGEWAY,KS,283
ELLENSBURG 1,KS,36
ELLENSBURG 2,KS,51
ELLENSBURG 5,KS,52
ELLENSBURG 4,KS,35
ELLENSBURG 7,KS,34
ELLENSBURG 6,KS,46
EAST SANDERS,KS,203
THRALL,KS,180
ELLENSBURG 21,KS,75
MOUNTAIN,KS,81
HYAK,KS,61
ROSLYN 1,KS,104
ROSLYN 2,KS,73
KITTITAS 1,KS,87
KACHESS,KS,61
MANASTASH,KS,145
DENMARK,KS,270
ROSLYN OUTLYING,KS,37
SOUTH ELLENSBURG,KS,254
DRY CREEK,KS,238
NORTH CENTRAL,KS,162
ELLENSBURG 11,KS,82
ELLENSBURG 10,KS,79
ELLENSBURG 13,KS,59
ELLENSBURG 12,KS,81
ELLENSBURG 15,KS,102
ELLENSBURG 14,KS,98
ELLENSBURG 17,KS,141
ELLENSBURG 16,KS,159
ELLENSBURG 19,KS,202
ELLENSBURG 18,KS,30
WESTSIDE,KS,255
EASTON,KS,205
PEOH POINT,KS,171
SANDERS,KS,85
KITTITAS 2,KS,109
NORTH ELLENSBURG,KS,265
THORP,KS,193
SWAUK,KS,118
Total,KS,7482
