Row Label,County,Mary E. Fairhurst
North Cove,PA,213
North River,PA,22
South Bend 1 R,PA,33
Ocean Park 2,PA,347
South Bend 2R,PA,6
Ocean Park 1,PA,144
Nemah,PA,35
Pioneer,PA,170
Willapa,PA,276
Pioneer 2,PA,136
Raymond W1p2,PA,79
Raymond W1p3,PA,102
Raymond W3 R,PA,35
Raymond W2 R,PA,30
Menlo-Firdale,PA,203
Klipsan,PA,235
Eklund Park,PA,44
Baleville,PA,42
Smith Creek,PA,36
South Bend 3R,PA,4
Frances-Lebam,PA,100
Raymond W2,PA,123
Bay Center,PA,110
Raymond W1p1,PA,22
Ilwaco 2 Rural,PA,46
Chinook,PA,170
Naselle,PA,326
Ilwaco City,PA,213
Seaview 2,PA,17
Seaview 1,PA,213
South Fork,PA,74
Nahcotta,PA,504
Long Beach,PA,362
South Bend 2,PA,62
Raymond W3,PA,155
Oysterville,PA,276
Total,PA,5191
South Bend 1,PA,129
Ilwaco 1 Rural,PA,0
South Bend 3,PA,97
