Row Label,County,Kenneth Collins,Anthony F (Tony) De Leo
601 Queets,JE,16,9
704 Port Townsend,JE,133,77
101 Gardiner,JE,85,60
501 Port Ludlow I,JE,281,208
200 Coyle,JE,118,70
708 Port Townsend,JE,333,233
302 Center I,JE,106,130
702 Port Townsend,JE,166,91
306 Irondale II,JE,190,246
300 Chimacum I,JE,154,144
102 Port Discovery,JE,96,78
105 Discovery Bay,JE,219,210
305 Irondale I,JE,159,152
710 Port Townsend,JE,177,139
500 Port Ludlow,JE,275,160
106 North Jacob,JE,152,166
503 Port Ludlow III,JE,181,101
301 Chimacum II,JE,108,73
706 Port Townsend,JE,293,328
401 Nordland,JE,383,122
502 Port Ludlow II,JE,193,124
505 Port Ludlow V,JE,216,110
709 Port Townsend,JE,277,218
303 Hadlock,JE,190,247
304 Kala Point,JE,312,193
107 South Jacob,JE,215,219
201 Quilcene,JE,220,220
308 Center II,JE,87,69
705 Port Townsend,JE,129,137
204 Brinnon,JE,252,191
707 Port Townsend,JE,297,252
104 Cape George,JE,248,192
103 Crocker,JE,62,81
600 Hoh,JE,18,9
703 Port Townsend,JE,181,113
700 Port Townsend,JE,224,199
504 Port Ludlow IV,JE,133,75
Total,JE,7151,5655
701 Port Townsend,JE,116,81
307 Four Corners,JE,156,128
