Row Label,County,Rick Larsen,B.J. Guillot
ANACORTES 20,SK,393,330
ANACORTES 21,SK,487,437
COUNTRY CLUB,SK,83,99
ANACORTES 24,SK,534,487
GEAR,SK,210,252
ANACORTES 22,SK,319,307
BOW,SK,323,223
SEDRO WOOLLEY  2,SK,236,215
SEDRO WOOLLEY  3,SK,178,120
SEDRO WOOLLEY  1,SK,219,199
MCMURRAY WEST,SK,116,99
SEDRO WOOLLEY  7,SK,6,3
SEDRO WOOLLEY  4,SK,231,179
SEDRO WOOLLEY  5,SK,310,253
ANACORTES 5,SK,5,8
COLLINS,SK,115,139
AVON,SK,212,165
ANACORTES  1,SK,273,120
MARCH POINT,SK,12,16
SNEE OOSH,SK,215,148
ROSARIO,SK,359,294
LITTLE MOUNTAIN,SK,99,105
EDISON,SK,152,123
RIDGEWAY,SK,167,124
STARBIRD,SK,158,217
ANACORTES  6,SK,225,197
ANACORTES  7,SK,530,321
ANACORTES  4,SK,193,94
TERRACE,SK,354,322
BAY VIEW,SK,208,170
BURLINGTON 2,SK,129,108
MCRAE,SK,308,320
BURLINGTON 1,SK,124,71
BURLINGTON 6,SK,117,100
WHITNEY,SK,112,62
RIVERBEND,SK,16,3
BURLINGTON 5,SK,225,186
ANACORTES 11,SK,362,228
LAKE SIXTEEN,SK,107,105
ANACORTES 17,SK,500,252
DEWEY,SK,420,368
FIR,SK,105,75
BELFAST,SK,103,132
BURLINGTON 4,SK,170,141
FREDONIA,SK,43,41
CONWAY,SK,113,74
GAGES,SK,45,57
SWINOMISH,SK,288,161
VEDERE,SK,171,123
HARMONY,SK,159,118
ALLEN,SK,77,128
BURLINGTON 3,SK,66,34
POINT WILLIAMS,SK,214,145
GUEMES,SK,276,115
LOOKOUT,SK,260,247
BURLINGTON 7,SK,117,126
DUNBAR,SK,52,35
ALGER,SK,129,156
FIDALGO,SK,292,269
BLANCHARD,SK,265,211
SAMISH,SK,153,147
ANACORTES  9,SK,265,210
DODGE VALLEY,SK,120,61
FRUITDALE,SK,109,85
PADILLA,SK,53,56
SHELTER BAY,SK,285,234
SEDRO WOOLLEY  6,SK,221,170
Total,SK,13783,11037
LA CONNER,SK,290,117
