Row Label,County,Matt Manweller
Ephrata 7 012,GR,259
Hartline Rural S 020,GR,24
Moses Lake 5 029,GR,262
Ephrata 9 013,GR,407
Beverly 002,GR,28
East Wahluke 061,GR,76
Royal City 044,GR,100
Lakeview Park 021,GR,222
Moses Lake 9  068,GR,282
Block 71 003,GR,448
Wilson Crk Rural 056,GR,29
Ephrata Rural E,GR,223
Moses Lake 7 033,GR,320
George 015,GR,37
Mae 023,GR,685
Ruff 045,GR,38
Cascade Valley 058,GR,456
Westslope 1 053,GR,77
Moses Lake 1 066,GR,187
Smyrna 2 060,GR,25
McConihe 2 063,GR,119
Moses Lake 4 031,GR,239
Cascade Fairgrnd 004,GR,205
Warden 050,GR,155
Ephrata 5 008,GR,218
Quincy 4 040,GR,121
Ephrata 4 011,GR,335
Quincy 1 039,GR,213
Stratford 049,GR,40
McConihe 1 028,GR,147
Marlin Rural 025,GR,33
Coulee Cty Rur W 006,GR,77
Coulee Cty Rur E 062,GR,20
Moses Lake 6 032,GR,386
Wheeler 2 070,GR,510
Longview 022,GR,308
Greenfield 065,GR,43
Mattawa Rural 027,GR,372
Airport 2 057,GR,165
Airport 1 001,GR,192
O Sullivan Dam 1 038,GR,397
Gloyd 017,GR,221
Smyrna 1 046,GR,108
Westslope 2 059,GR,72
Moses Lake 3 030,GR,393
Mattawa 026,GR,39
O Sullivan Dam 2 069,GR,553
Quincy Rural S 064,GR,438
Moses Lake 12 036,GR,296
Ephrata 3 010,GR,185
Wheeler 1 054,GR,179
Warden Rural 051,GR,305
George Rural 016,GR,435
Moses Lake 2 067,GR,209
Quincy 6 041,GR,354
Marlin 024,GR,16
Wilson Creek 055,GR,57
Moses Lake 8 034,GR,409
Soap Lake Rur E ,GR,67
Royal Camp 043,GR,375
Total,GR,13984
Ephrata 2 009,GR,277
Moses Lake 11 035,GR,516
