Row Label,County,Jeffrey J. Jahns
LEMOLO 435,KP,266
ANNAPOLIS 212,KP,412
MEADOWDALE 150,KP,235
BELLA VISTA 413,KP,249
LIGHTHOUSE POINT 292,KP,355
CLEAR CREEK 120,KP,304
AUGUSTA 461,KP,197
HEINS CREEK 297,KP,0
HANSVILLE 415,KP,192
TORVANGER 345,KP,346
BREMERTON 012,KP,70
BREMERTON 013,KP,254
BREMERTON 015,KP,304
BREMERTON 016,KP,74
WINSLOW 304,KP,517
HIGHLAND 423,KP,179
LAKE HELENA 214,KP,284
DICKENSON 282,KP,326
UNIVERSITY POINT 142,KP,230
SANDY HOOK 464,KP,227
BARKER CREEK 147,KP,377
BAYVIEW 087,KP,93
ISLAND CENTER 320,KP,297
EVERGREEN RIDGE 426,KP,131
REGAL 131,KP,89
COUNTRY CLUB 113,KP,191
POULSBO 405,KP,341
POULSBO 404,KP,376
POULSBO 407,KP,272
POULSBO 406,KP,404
SEDGWICK 272,KP,390
BERRY LAKE 279,KP,199
POULSBO 403,KP,302
EBBERT 247,KP,345
ILLAHEE 065,KP,378
COTTONWOOD 125,KP,299
MARION 090,KP,67
OLYMPIC 099,KP,43
GILBERTON 140,KP,272
STRIEBEL 453,KP,273
AZALEA 302,KP,361
YUKON 241,KP,232
FOREST RIDGE 126,KP,209
FAIRVIEW 135,KP,193
ANDERSON CREEK 163,KP,264
PORT GAMBLE 450,KP,315
RAINIER 067,KP,350
BRASCH 213,KP,347
GAMBLEWOOD 454,KP,213
CENTRAL VALLEY 128,KP,378
HOLLY 158,KP,98
BURLEY 218,KP,318
LUOTO 122,KP,174
POINT JEFFERSON 419,KP,237
BREMERTON 296,KP,0
MORKEN 161,KP,434
INDIANOLA 420,KP,403
TWIN LAKES 285,KP,91
BELFAIR VALLEY 280,KP,103
KARIOTIS 143,KP,355
TRACYTON 170,KP,231
ROCKY POINT 083,KP,394
HERITAGE PARK 112,KP,221
BREMERTON 294,KP,0
ORCA 421,KP,236
BREMERTON 293,KP,2
MINTERBROOK 216,KP,161
ALASKA 221,KP,391
GLENWOOD 232,KP,410
MEADOWMEER 321,KP,142
APEX 162,KP,362
OLALLA 265,KP,225
WINSTON 129,KP,145
RIDGETOP 149,KP,252
EAGLE CREST 164,KP,386
LOCKER 246,KP,389
BROWNSVILLE 105,KP,421
KINGSTON 430,KP,469
VENA 173,KP,301
CEDAR 211,KP,301
BREMERTON 041,KP,240
BREMERTON 040,KP,270
POULSBO 401,KP,445
BREMERTON 046,KP,285
CAMBRIDGE 144,KP,225
BREMERTON 056,KP,263
TWIN SPITS 417,KP,343
BIG VALLEY 441,KP,215
CHARLAND 110,KP,246
SKIFF POINT 328,KP,262
LOST HIGHWAY 157,KP,343
TRIDENT 101,KP,80
WILSON CREEK 242,KP,268
SYLVAN 066,KP,324
PORT ORCHARD 201,KP,266
EVERGREEN 257,KP,458
FERNWOOD 230,KP,370
MANCHESTER 255,KP,264
SUNNYSLOPE 281,KP,260
LOFALL 442,KP,447
BLAKELY 310,KP,263
PORT ORCHARD 207,KP,318
WOODMERE 127,KP,398
