Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Salzer,LE,83,38
Napavine #2,LE,0,0
Packwood,LE,43,32
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,246,126
Union,LE,126,68
Paradise,LE,34,16
Napavine #4,LE,0,0
Urquhart,LE,111,46
Mossyrock,LE,82,35
Independence,LE,46,20
Sommerville,LE,31,21
Stillwater West,LE,90,65
Veness,LE,187,91
Greenwood,LE,7,4
Stearns Creek,LE,73,38
Elk Crk,LE,66,27
Stillwater East,LE,52,31
Agate,LE,106,56
Skookumchuck,LE,198,90
Silver Creek,LE,174,105
Meskill,LE,34,12
Onalaska,LE,319,211
Jackson,LE,242,98
Napavine #3(*),LE,0,0
Toledo,LE,101,40
Mauermann,LE,48,23
Chehalis #9,LE,8,5
Chehalis #8,LE,135,62
Harmony,LE,197,93
Chehalis #1,LE,152,69
Chehalis #3,LE,114,48
Chehalis #2,LE,106,50
Chehalis #5,LE,93,49
Chehalis #4,LE,109,59
Chehalis #7,LE,30,19
Chehalis #6,LE,206,58
Centralia #2,LE,203,113
Centralia #3,LE,102,30
Centralia #1,LE,77,55
Centralia #6,LE,176,94
Centralia #7,LE,82,34
Centralia #4,LE,153,48
Centralia #5,LE,96,45
Centralia #8,LE,122,47
Centralia #9,LE,191,115
Mineral,LE,100,63
Salkum,LE,158,64
Randle West,LE,143,73
Ethel,LE,237,143
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,440,162
Parcuvia,LE,142,64
Evaline West,LE,107,52
Pe Ell,LE,91,60
Newaukum,LE,169,54
Forest,LE,210,74
Dryad,LE,57,32
Temple,LE,165,97
Cowlitz,LE,330,129
Drews Prairie,LE,104,42
Seminary Hill,LE,111,61
Klickitat,LE,109,66
Verndale,LE,186,85
Cinebar,LE,165,97
Whealdon,LE,137,56
Sears,LE,151,55
Adna ,LE,322,143
Big Bottom,LE,213,117
Fords Prairie,LE,186,109
Jackson North,LE,0,0
Boistfort,LE,47,36
Claquato,LE,181,88
Curtis,LE,66,26
Vader,LE,94,40
Logan,LE,177,100
Alpha,LE,257,135
Berwick,LE,298,107
Evaline East,LE,65,48
Lincoln Creek,LE,158,68
Randle East,LE,197,80
Salmon Creek,LE,322,170
Emery,LE,115,45
Emery North(*),LE,0,0
Winlock,LE,161,75
Prescott,LE,376,194
Total,LE,12434,5865
Kelly,LE,0,0
Roswell,LE,5,4
Centralia #10,LE,93,25
Centralia #11,LE,215,89
Centralia #12,LE,287,83
Centralia #13,LE,282,83
Morton,LE,148,82
