Row Label,County,Matt Shea,Josh Arritola
PCT 4414,SP,313,223
PCT 4415,SP,211,192
PCT 4416,SP,269,185
PCT 4417,SP,192,92
PCT 4410,SP,244,307
PCT 4411,SP,280,223
PCT 4412,SP,182,182
PCT 4413,SP,280,173
PCT 4418,SP,274,200
PCT 4419,SP,319,170
PCT 4201,SP,124,81
PCT 4200,SP,194,160
PCT 4449,SP,124,152
PCT 4448,SP,200,169
PCT 4407,SP,275,201
PCT 4406,SP,251,174
PCT 4405,SP,284,222
PCT 4404,SP,292,221
PCT 4403,SP,286,209
PCT 4402,SP,248,164
PCT 4401,SP,283,233
PCT 4400,SP,251,171
PCT 4409,SP,360,333
PCT 4408,SP,330,297
PCT 4438,SP,392,254
PCT 4439,SP,324,153
PCT 4432,SP,284,215
PCT 4433,SP,200,132
PCT 4430,SP,296,210
PCT 4431,SP,203,189
PCT 4436,SP,379,306
PCT 4437,SP,305,216
PCT 4434,SP,376,305
PCT 4435,SP,303,225
PCT 4300,SP,209,184
PCT 4301,SP,160,91
PCT 4302,SP,262,207
PCT 4303,SP,277,218
PCT 4304,SP,176,143
PCT 4305,SP,132,179
PCT 4306,SP,283,222
PCT 4307,SP,51,45
PCT 4429,SP,294,233
PCT 4428,SP,199,143
PCT 4425,SP,207,159
PCT 4424,SP,257,209
PCT 4427,SP,315,274
PCT 4426,SP,151,134
PCT 4421,SP,198,166
PCT 4420,SP,118,85
PCT 4423,SP,352,277
PCT 4422,SP,286,194
PCT 4010,SP,260,173
PCT 4011,SP,432,228
PCT 4012,SP,456,284
PCT 4013,SP,284,142
PCT 4014,SP,164,144
PCT 4015,SP,177,159
PCT 4016,SP,264,212
PCT 4017,SP,321,251
PCT 4018,SP,214,109
PCT 4019,SP,217,134
PCT 4452,SP,228,143
PCT 4453,SP,278,194
PCT 4003,SP,431,256
PCT 4002,SP,295,174
PCT 4001,SP,205,142
PCT 4007,SP,204,141
PCT 4006,SP,355,277
PCT 4005,SP,282,141
PCT 4004,SP,329,214
PCT 4450,SP,150,81
PCT 4451,SP,224,137
PCT 4009,SP,325,139
PCT 4008,SP,209,124
PCT 4454,SP,173,149
PCT 4455,SP,228,133
PCT 4034,SP,222,145
PCT 4035,SP,193,127
PCT 4032,SP,194,109
PCT 4033,SP,189,172
PCT 4030,SP,175,161
PCT 4031,SP,242,167
PCT 4443,SP,136,141
PCT 4442,SP,169,173
PCT 4441,SP,221,132
PCT 4440,SP,289,214
PCT 4447,SP,114,108
PCT 4446,SP,158,115
PCT 4445,SP,243,181
PCT 4444,SP,290,217
PCT 4029,SP,234,233
PCT 4028,SP,317,316
PCT 4021,SP,316,173
PCT 4020,SP,321,205
PCT 4023,SP,91,87
PCT 4022,SP,277,149
PCT 4025,SP,253,200
PCT 4024,SP,185,164
PCT 4027,SP,274,144
PCT 4026,SP,251,156
Total,SP,25114,18372
