Row Label,County,John P. Hagensen
669,CR,335
668,CR,382
667,CR,305
664,CR,401
663,CR,277
662,CR,403
660,CR,414
130,CR,380
571,CR,369
490,CR,265
491,CR,25
626,CR,380
692,CR,417
693,CR,236
690,CR,380
691,CR,385
696,CR,445
697,CR,498
694,CR,155
695,CR,426
698,CR,346
699,CR,338
450,CR,465
540,CR,403
340,CR,393
400,CR,230
930,CR,374
452,CR,347
935,CR,397
570,CR,383
678,CR,295
679,CR,272
674,CR,341
675,CR,246
677,CR,370
670,CR,409
672,CR,341
455,CR,285
120,CR,451
575,CR,118
914,CR,409
917,CR,294
528,CR,326
910,CR,392
537,CR,159
415,CR,297
535,CR,477
410,CR,448
913,CR,431
298,CR,241
530,CR,158
296,CR,284
370,CR,280
294,CR,254
912,CR,346
925,CR,364
290,CR,392
538,CR,200
591,CR,477
590,CR,505
593,CR,389
592,CR,449
595,CR,213
594,CR,13
597,CR,37
200,CR,413
598,CR,10
629,CR,349
700,CR,67
190,CR,402
985,CR,331
390,CR,470
110,CR,381
113,CR,221
112,CR,36
250,CR,481
536,CR,234
628,CR,436
524,CR,38
525,CR,237
527,CR,306
520,CR,211
521,CR,6
522,CR,137
523,CR,4
420,CR,385
423,CR,314
255,CR,405
425,CR,291
424,CR,454
360,CR,385
426,CR,529
586,CR,345
587,CR,312
449,CR,506
448,CR,481
582,CR,314
583,CR,301
580,CR,262
581,CR,190
441,CR,386
440,CR,383
447,CR,464
446,CR,375
445,CR,480
444,CR,486
245,CR,428
920,CR,337
108,CR,369
240,CR,452
102,CR,319
100,CR,404
615,CR,168
106,CR,342
649,CR,325
104,CR,386
903,CR,409
900,CR,369
905,CR,402
641,CR,150
640,CR,405
643,CR,384
642,CR,175
645,CR,473
644,CR,395
647,CR,256
646,CR,196
436,CR,220
510,CR,259
434,CR,271
435,CR,268
515,CR,449
430,CR,280
588,CR,231
579,CR,15
578,CR,32
627,CR,387
338,CR,386
625,CR,391
624,CR,96
335,CR,314
451,CR,375
337,CR,342
453,CR,359
577,CR,494
330,CR,405
456,CR,530
574,CR,16
600,CR,200
175,CR,280
257,CR,415
170,CR,303
543,CR,353
596,CR,0
654,CR,271
656,CR,191
710,CR,187
180,CR,331
655,CR,378
652,CR,361
653,CR,341
650,CR,392
651,CR,270
505,CR,446
502,CR,339
503,CR,288
500,CR,399
659,CR,392
630,CR,316
631,CR,447
632,CR,210
633,CR,376
634,CR,345
635,CR,304
636,CR,324
560,CR,395
639,CR,354
545,CR,268
460,CR,565
566,CR,266
225,CR,526
160,CR,317
220,CR,299
964,CR,404
965,CR,355
966,CR,235
967,CR,227
960,CR,436
961,CR,77
962,CR,291
963,CR,322
968,CR,345
969,CR,228
658,CR,332
720,CR,296
947,CR,324
605,CR,354
150,CR,245
153,CR,275
606,CR,67
395,CR,111
603,CR,204
555,CR,453
550,CR,447
553,CR,367
584,CR,361
681,CR,321
959,CR,15
958,CR,70
951,CR,353
950,CR,385
953,CR,184
957,CR,73
638,CR,351
327,CR,407
585,CR,456
325,CR,300
620,CR,418
147,CR,312
618,CR,401
563,CR,439
613,CR,161
610,CR,513
617,CR,385
565,CR,313
511,CR,24
648,CR,326
487,CR,193
485,CR,250
673,CR,427
483,CR,535
573,CR,488
480,CR,523
686,CR,293
432,CR,297
576,CR,3
940,CR,345
470,CR,507
689,CR,405
688,CR,328
350,CR,321
685,CR,100
687,CR,375
Total,CR,78909
572,CR,496
680,CR,310
683,CR,347
682,CR,355
