Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
NORTH BONNEVILLE,SM,172,75
STABLER,SM,133,62
UNDERWOOD SOUTH,SM,121,29
WIND RIVER,SM,105,41
CAPE HORN,SM,129,50
SKAMANIA,SM,138,61
ROCK CREEK,SM,77,29
CARSON CREEK,SM,132,47
SOUTH STEVENSON,SM,33,9
SKYE,SM,93,46
HOT SPRINGS SOUTH,SM,69,36
NORTH STEVENSON,SM,103,33
CHENOWITH,SM,90,33
MT. PLEASANT,SM,86,41
BEAR PRAIRIE,SM,85,41
CASCADES,SM,2,4
NELSON CREEK,SM,59,17
HOT SPRINGS NORTH,SM,45,18
LEWIS RIVER,SM,6,2
UNDERWOOD NORTH,SM,150,36
UPPER WASHOUGAL,SM,115,38
WIND MOUNTAIN,SM,57,24
MAPLE VIEW,SM,139,47
Total,SM,2139,819
