Row Label,County,David V. Taylor,Teodora Martinez-Chavez
4303,YA,124,25
3101,YA,482,109
0140,YA,156,78
0308,YA,0,0
0307,YA,15,5
0306,YA,237,117
0305,YA,9,5
0304,YA,79,46
0303,YA,128,105
0302,YA,144,98
0301,YA,40,40
0124,YA,46,49
2701,YA,539,176
1701,YA,121,141
1702,YA,26,7
1703,YA,175,77
1704,YA,0,0
1705,YA,285,128
1706,YA,139,162
1708,YA,138,105
4401,YA,168,51
4402,YA,190,51
0111,YA,179,60
5016,YA,129,30
3002,YA,77,19
4112,YA,433,132
3306,YA,165,23
3304,YA,343,80
3303,YA,145,33
3301,YA,237,54
4802,YA,490,140
2301,YA,179,77
2303,YA,170,83
3401(*),YA,0,0
2306,YA,270,94
5001,YA,75,27
0104,YA,104,115
0103,YA,75,89
4624,YA,179,35
4111,YA,377,80
3311,YA,566,145
4605(*),YA,0,0
0901,YA,46,102
0175,YA,157,57
4628,YA,97,16
4105,YA,146,45
4106,YA,275,64
4109,YA,409,108
4108,YA,226,60
0501,YA,115,137
1502,YA,331,107
1503,YA,345,69
1501,YA,194,80
1504,YA,364,89
3602,YA,521,113
0162,YA,183,61
4608,YA,109,29
4606,YA,303,80
4604,YA,152,35
5101,YA,147,38
4602,YA,147,37
4603,YA,379,87
3504(*),YA,0,0
3206,YA,389,101
3601(*),YA,0,0
1103,YA,225,71
1101,YA,216,87
2103,YA,94,217
2101,YA,201,203
3902,YA,116,41
4618,YA,218,45
4615,YA,238,68
4616,YA,141,15
3104,YA,230,89
3105,YA,37,8
4002,YA,85,48
4003,YA,426,102
4005,YA,214,47
3103,YA,121,89
2501,YA,103,203
4504,YA,228,72
5202,YA,0,0
4501,YA,83,20
0156,YA,139,66
0155,YA,297,113
0150,YA,119,94
Total,YA,16523,6297
3106,YA,277,69
0158,YA,125,64
