Row Label,County,Adam N. Kick
NORTH BONNEVILLE,SM,251
STABLER,SM,214
UNDERWOOD SOUTH,SM,146
WIND RIVER,SM,158
CAPE HORN,SM,148
SKAMANIA,SM,177
ROCK CREEK,SM,113
CARSON CREEK,SM,177
SOUTH STEVENSON,SM,43
SKYE,SM,126
HOT SPRINGS SOUTH,SM,133
NORTH STEVENSON,SM,151
CHENOWITH,SM,104
MT. PLEASANT,SM,105
BEAR PRAIRIE,SM,100
CASCADES,SM,6
NELSON CREEK,SM,76
HOT SPRINGS NORTH,SM,68
LEWIS RIVER,SM,13
UNDERWOOD NORTH,SM,166
UPPER WASHOUGAL,SM,119
WIND MOUNTAIN,SM,78
MAPLE VIEW,SM,211
Total,SM,2883
