Row Label,County,Mary E. Fairhurst
Memorial,CZ,209
Windemere,CZ,423
Modrow,CZ,247
Ostrander,CZ,320
Baltimore,CZ,318
Magnolia,CZ,461
Hudson,CZ,350
Lake,CZ,273
Douglas,CZ,235
Kessler,CZ,379
St. Helens,CZ,153
Woodage,CZ,210
Arkansas,CZ,127
Olson,CZ,202
Woodland South,CZ,327
Tunstall,CZ,106
Brynion,CZ,224
Marigold,CZ,431
Crawford,CZ,300
Chinook,CZ,327
Ridgecrest,CZ,21
Cloverdale,CZ,242
Elk Ridge,CZ,3
Woodland North,CZ,382
West Kelso,CZ,99
Ponderosa,CZ,264
Owl Creek,CZ,365
Willow Grove,CZ,88
Robbins,CZ,422
Powell,CZ,279
Ocean Beach,CZ,279
Sparks,CZ,182
Beacon,CZ,402
Harris,CZ,273
Delameter,CZ,261
Ryderwood,CZ,139
Redpath,CZ,245
Nevada,CZ,267
Sandy Bend,CZ,272
Mint Valley,CZ,474
Burcham,CZ,518
Columbia Valley Gdns,CZ,218
Lexington,CZ,294
Rose Valley,CZ,195
Mt. Solo,CZ,90
Haussler,CZ,208
Silver Lake,CZ,473
Ammons,CZ,204
Kalama North,CZ,245
Yale,CZ,217
Bakers,CZ,12
Sacajawea,CZ,550
Alabama,CZ,218
Kalama South,CZ,318
Mill,CZ,403
Caples,CZ,105
Lone Oak,CZ,161
Lewis River,CZ,367
Industrial,CZ,0
Castle Rock,CZ,390
Stella,CZ,267
Toutle,CZ,375
Tower,CZ,435
Columbia Heights,CZ,180
Pacific,CZ,338
McGowan,CZ,65
Hillcrest,CZ,504
Boondox,CZ,11
View,CZ,205
Coal Creek,CZ,368
Laurel,CZ,357
Carrolls,CZ,291
Total,CZ,19163
