Row Label,County,Al Littlefield,Jason Easton
VAN FLEET,SK,128,160
GEAR,SK,178,183
BIRDSVIEW,SK,148,214
BURLINGTON 7,SK,100,104
BOW,SK,226,234
ROCKPORT,SK,153,148
ROSARIO,SK,303,203
MOUNT VERNON 16,SK,230,222
EDISON,SK,111,106
MOUNT VERNON 14,SK,239,194
MOUNT VERNON 12,SK,94,68
RIDGEWAY,SK,112,144
MOUNT VERNON 10,SK,82,101
SAMISH,SK,123,105
MOUNT VERNON 19,SK,189,211
BAY VIEW,SK,119,174
BURLINGTON 2,SK,79,123
STARBIRD,SK,148,138
BURLINGTON 1,SK,82,84
BURLINGTON 6,SK,102,79
TERRACE,SK,256,307
BURLINGTON 4,SK,126,125
BURLINGTON 5,SK,174,168
MANSFORD,SK,34,19
MAPES,SK,59,65
FIR,SK,53,83
LYMAN,SK,43,44
GAGES,SK,38,45
NOOKACHAMPS,SK,88,108
SAUK,SK,172,166
VEDERE,SK,94,144
HAMILTON,SK,20,25
POINT WILLIAMS,SK,142,136
SKYRIDGE,SK,118,165
CONCRETE,SK,55,70
ALDER,SK,91,102
CLEAR LAKE,SK,170,170
FRUITDALE,SK,82,73
SWINOMISH,SK,207,157
SEDRO WOOLLEY  6,SK,158,183
MINKLER,SK,114,115
ANACORTES 20,SK,309,298
TINGLEY,SK,80,93
ANACORTES 22,SK,270,240
ANACORTES 24,SK,449,359
BIG LAKE,SK,213,231
COLLINS,SK,84,116
AVON,SK,139,177
MARCH POINT,SK,16,10
MOUNT VERNON 30,SK,206,198
FIDALGO,SK,259,190
MOUNT VERNON  4,SK,219,244
MOUNT VERNON  5,SK,51,43
MOUNT VERNON  6,SK,127,129
MOUNT VERNON  7,SK,175,167
WHITNEY,SK,63,73
MOUNT VERNON  2,SK,74,69
MOUNT VERNON  3,SK,153,144
LAKE SIXTEEN,SK,85,78
MOUNT VERNON  8,SK,315,273
MOUNT VERNON  9,SK,92,93
DEWEY,SK,345,309
BELFAST,SK,96,91
MOUNT VERNON 15,SK,121,102
MCMURRAY EAST,SK,29,40
LAKE CAVANAUGH,SK,40,49
SHELTER BAY,SK,200,187
MOUNT VERNON 27,SK,54,55
MOUNT VERNON 22,SK,295,299
MOUNT VERNON 21,SK,269,278
LOOKOUT,SK,209,172
MOUNT VERNON 11,SK,145,163
ANACORTES  9,SK,222,170
COUNTRY CLUB,SK,73,83
ANACORTES 21,SK,395,360
MOUNT VERNON  1,SK,73,64
SEDRO WOOLLEY  2,SK,177,200
SEDRO WOOLLEY  3,SK,131,123
SEDRO WOOLLEY  1,SK,162,182
MCMURRAY WEST,SK,74,89
SEDRO WOOLLEY  7,SK,3,4
SEDRO WOOLLEY  4,SK,145,203
SEDRO WOOLLEY  5,SK,192,251
ANACORTES  1,SK,180,138
MCRAE,SK,224,257
ANACORTES  6,SK,193,172
ANACORTES  7,SK,441,300
ANACORTES  4,SK,138,103
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,120,151
MONTBORNE,SK,204,244
STERLING,SK,61,38
FREDONIA,SK,34,42
CASCADE,SK,32,30
DIGBY,SK,18,20
HARMONY,SK,90,120
PADILLA,SK,37,47
DUNBAR,SK,33,37
LA CONNER,SK,180,146
CEDARDALE,SK,40,83
BURLINGTON 3,SK,38,44
ANACORTES 5(*),SK,0,0
PRAIRIE,SK,166,189
RIVERBEND,SK,6,10
HAMBURG,SK,82,66
ANACORTES 11,SK,315,208
ALLEN,SK,59,99
ANACORTES 17,SK,373,275
CONWAY,SK,74,66
LITTLE MOUNTAIN,SK,74,91
GUEMES,SK,176,128
ALGER,SK,110,105
BLANCHARD,SK,182,149
DODGE VALLEY,SK,84,68
Total,SK,15846,15592
