Row Label,County,Bill Spencer,Mary M. Phillips
Finley,BE,238,148
170,BE,111,89
W3 - P505,BE,108,80
Buena Vista,BE,234,204
W3 - P500,BE,24,27
Demoss,BE,4,13
Sunny,BE,52,19
180,BE,65,81
316,BE,0,0
Pearson(*),BE,0,0
Candy(*),BE,0,0
W2 - P570,BE,141,92
186,BE,56,42
Dot,BE,92,45
W2 - P575,BE,68,43
185,BE,48,67
250,BE,131,108
Vineyard(*),BE,0,0
465,BE,131,164
Horse Heaven,BE,22,18
460,BE,114,146
McBee(*),BE,0,0
315,BE,246,195
Enterprise,BE,109,87
W2 - P590,BE,91,89
W2 - P610,BE,85,92
W2 - P595,BE,129,71
Prosser North,BE,161,112
W2 - P615,BE,39,31
270,BE,154,134
W3 - P515,BE,70,69
W3 - P510,BE,57,66
225,BE,110,101
Miller(*),BE,0,0
W2 - P565,BE,60,49
Canyon,BE,175,102
295,BE,153,123
W2 - P560,BE,95,56
Roza,BE,0,0
Edgewater,BE,113,96
Griffin(*),BE,0,0
110,BE,116,112
151,BE,196,251
150,BE,180,162
Vista,BE,77,48
WR 4,BE,224,154
Legion,BE,147,121
Cherry,BE,168,123
Oak,BE,77,56
WR 9,BE,123,79
WR 8,BE,184,186
W1-P663,BE,160,86
Paterson,BE,10,10
WR 2,BE,71,92
WR 3,BE,73,56
W2 - P626,BE,76,71
W2 - P580,BE,79,89
W3 - P520,BE,55,41
WR 7,BE,187,149
Chandler,BE,24,16
W3 - P525,BE,91,90
W2 - P585,BE,78,69
W2-P574,BE,104,50
230,BE,95,67
WR12,BE,214,137
WR13,BE,134,84
WR14,BE,221,177
WR15,BE,135,101
WR 6,BE,195,169
320,BE,233,166
WR 5,BE,69,43
155,BE,213,158
W2 - P620,BE,114,74
White Bluffs,BE,219,151
200,BE,111,96
145,BE,163,189
205,BE,100,84
140,BE,90,119
275,BE,71,40
W2 - P630,BE,132,109
Expansion(*),BE,0,0
Goose Ridge,BE,43,23
W2 - P634,BE,181,192
Reese,BE,38,2
W2 - P636,BE,156,120
W2 - P637,BE,170,143
W2 - P638,BE,171,138
Susie,BE,16,19
W1 - P691,BE,23,17
W1 - P690,BE,176,165
W3 - P530,BE,95,50
South,BE,107,111
Ida,BE,0,0
120,BE,130,158
Tumble Weed,BE,33,20
Sacagawea(*),BE,0,0
470,BE,88,125
260,BE,110,88
Shockley(*),BE,0,0
W3-P516,BE,7,3
Red Mountain,BE,150,94
Total,BE,25741,21031
Clements,BE,36,25
