Row Label,County,D. Mark Eide,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
NPK 33-0857,KI,263,684,219,483,0,1
NPK 33-0854,KI,157,436,145,302,0,0
NPK 33-0855,KI,117,390,114,231,0,0
NPK 33-0852,KI,158,442,135,296,0,3
FED 30-3015,KI,127,398,113,241,0,1
FED 30-3599,KI,104,420,107,213,0,2
NPK 33-0851,KI,169,525,166,338,0,3
SET 33-3074,KI,148,456,111,260,0,1
FED 30-3596,KI,103,332,73,178,0,2
NPK 33-0849,KI,148,380,104,254,0,2
SET 33-3070,KI,91,340,80,173,0,2
FED 30-3031,KI,183,542,89,273,0,1
AVALON,KI,103,372,88,191,0,0
FED 30-3045,KI,151,637,102,253,0,0
CONNAUGHT,KI,184,615,150,337,0,3
SET 33-3073,KI,103,285,66,171,0,2
FED 30-3235,KI,97,400,75,172,0,0
REGAL,KI,193,788,127,321,0,1
TUK 11-2955,KI,163,653,110,274,0,1
BUR 34-1032,KI,152,511,108,263,0,3
BUR 34-1136,KI,73,218,63,137,0,1
SET 33-3060,KI,87,373,46,134,0,1
GLASGOW,KI,139,601,114,255,0,2
LISABEULA,KI,122,467,185,309,0,2
MERLIN,KI,109,411,56,170,0,5
DES 33-2637,KI,139,499,81,221,0,1
TUK 11-3614,KI,15,56,13,28,0,0
BUR 33-0957,KI,96,323,43,141,0,2
BUR 34-0913,KI,148,599,74,225,0,3
BUR 33-0818,KI,174,753,144,319,0,1
NPK 33-2644,KI,116,287,88,204,0,0
NPK 33-2474,KI,139,454,177,316,0,0
FED 30-3040,KI,97,432,48,146,0,1
SPIDER LAKE,KI,225,755,157,387,0,5
BUR 34-0281,KI,0,0,0,0,0,0
SERENIDAD,KI,183,746,133,317,0,1
TUK 11-2752,KI,131,490,116,249,0,2
FED 30-3043,KI,156,631,102,261,0,3
FED 30-2988,KI,208,629,118,332,0,6
FED 30-3042,KI,99,251,66,166,0,1
TUK 11-3128,KI,162,717,124,288,0,2
TUK 11-3233,KI,106,457,70,178,0,2
BUR 34-0033,KI,173,682,132,309,0,4
JUTLAND,KI,21,85,19,40,0,0
BUR 34-1082,KI,109,307,105,215,0,1
CROSS,KI,144,511,183,328,0,1
FED 30-3582,KI,55,255,40,95,0,0
