Row Label,County,Steve Hobbs,Jim Kellett
LAKE STEVENS 17,SN,148,157
MISTY,SN,171,154
LAKE STEVENS 15,SN,226,159
LAKE STEVENS 14,SN,148,132
LAKE STEVENS 13,SN,173,109
LAKE STEVENS 12,SN,148,89
LAKE STEVENS 11,SN,114,82
LAKE STEVENS 10,SN,170,142
SLIVER(*),SN,0,0
LAKE STEVENS 19,SN,154,171
LAKE STEVENS 18,SN,143,130
MILL CREEK 14,SN,8,4
PUGET PARK,SN,151,120
SPRUCE,SN,88,99
RAILROAD,SN,97,123
DOUGLAS FIRS,SN,143,111
SOUTH SNOHOMISH,SN,125,121
MEADOW,SN,146,121
MARYSVILLE 34,SN,127,124
WELANGDON,SN,8,12
RIDGEWAY,SN,109,85
VALMONT,SN,83,88
DUBUQUE,SN,136,164
MILL CREEK 11,SN,127,122
MARYSVILLE 24,SN,137,120
MARYSVILLE 23,SN,221,196
LARIMER,SN,137,150
MARYSVILLE 21,SN,219,241
MORNING RISE,SN,159,125
LUDWIG,SN,127,157
RIVERCREST,SN,116,99
FIR,SN,160,140
SILVER FIRS,SN,220,158
MILL CREEK 18,SN,175,106
CASSIDY,SN,145,152
WOODRIDGE,SN,226,161
THOMAS CREEK,SN,146,135
MILL CREEK 15,SN,183,148
MILL CREEK 16,SN,115,103
MILL CREEK 17,SN,194,132
MILL CREEK 10,SN,155,92
SNOHOMISH 10,SN,54,90
MILL CREEK 12,SN,141,144
MILL CREEK 13,SN,161,116
STITCH,SN,66,30
WINDROSE,SN,240,154
SNOHOMISH  2,SN,126,118
SNOHOMISH  3,SN,178,113
MILL CREEK  1,SN,224,172
SNOHOMISH  1,SN,179,174
SNOHOMISH  6,SN,109,125
SNOHOMISH  7,SN,191,128
SNOHOMISH  4,SN,157,139
SNOHOMISH  5,SN,251,167
HEARTHSTONE,SN,134,102
SNOHOMISH  8,SN,219,191
SNOHOMISH  9,SN,98,102
LANTERN(*),SN,0,0
GREENWOOD,SN,171,156
MARYSVILLE 55,SN,105,113
SUNNYSIDE,SN,44,59
TOWER,SN,169,118
LAKE STEVENS  4,SN,151,126
LAKE STEVENS  5,SN,140,112
KENWOOD,SN,163,114
LAKE STEVENS  7,SN,188,182
LAKE STEVENS  1,SN,215,193
LAKE STEVENS  2,SN,171,130
LAKE STEVENS  3,SN,226,165
LAKE STEVENS  8,SN,142,153
LAKE STEVENS  9,SN,142,107
MILL CREEK  3,SN,122,90
MILL CREEK  2,SN,134,146
KENSINGTON,SN,94,70
MARYSVILLE 22,SN,213,188
MERWIN,SN,95,121
HILL,SN,152,107
RIVERVIEW,SN,175,158
MILL CREEK  7,SN,13,12
RUGGS LAKE,SN,201,140
MILL CREEK  6,SN,190,218
MILL CREEK  5,SN,228,214
MILL CREEK  4,SN,145,109
PANTHER CREEK,SN,166,141
GRAND FIRS,SN,222,191
MACHIAS,SN,212,261
MILL CREEK  9,SN,198,129
MILL CREEK  8,SN,245,160
FIRGROVE,SN,120,88
JORDAN,SN,264,184
WINDSONG,SN,154,112
HAINES,SN,161,181
MARYSVILLE 31,SN,218,233
HILTONS LAKE,SN,163,160
TUCKER,SN,188,137
FERNWOOD,SN,164,118
KNOX,SN,12,6
HOLIDAY,SN,81,62
LAKE STEVENS 16,SN,121,102
LAKE STEVENS 28,SN,161,128
LAKE STEVENS 26,SN,95,62
LAKE STEVENS 27,SN,92,62
LAKE STEVENS 24,SN,129,98
LAKE STEVENS 25,SN,54,44
LAKE STEVENS 22,SN,160,86
LAKE STEVENS 23,SN,100,120
LAKE STEVENS 20,SN,163,129
LAKE STEVENS 21,SN,223,152
KATTENHORN,SN,264,181
FIRCREST,SN,114,91
PIONEER TRAILS,SN,158,147
CREEKSIDE,SN,134,98
PELLERIN,SN,167,115
MARSH,SN,173,201
CENTENNIAL,SN,223,213
MARKS,SN,161,163
EASTMONT,SN,160,82
PETERSON,SN,226,165
VILLE,SN,71,67
EBEY,SN,12,25
GLEN ACRES(*),SN,0,0
LAKE STEVENS  6,SN,170,144
OLYMPUS,SN,140,111
PINEWOOD,SN,165,127
DOGWOOD,SN,150,106
TRAIL,SN,74,83
PEAK,SN,8,6
PENNANT,SN,222,185
MARYSVILLE  5,SN,198,190
HILLSIDE,SN,64,64
GLENWOOD,SN,110,105
SEATTLE HILL,SN,125,132
MILL CREEK 21,SN,101,66
MILL CREEK 20,SN,138,124
MILL CREEK 22,SN,118,86
MARYSVILLE 30,SN,156,186
OVERLOOK,SN,208,172
DUMAS,SN,159,133
FOUR CORNERS,SN,179,135
OAKS,SN,183,170
BERKSHIRE,SN,234,183
OHLDE,SN,126,195
BROOK,SN,249,139
SILVER LAKE,SN,155,109
MARION,SN,137,128
SOUTH LAKE STEVENS,SN,158,170
POINTE,SN,30,19
SEXTON,SN,193,199
WHALEBACK,SN,11,12
HAVEN,SN,201,150
STRAWBERRY,SN,193,131
MARYSVILLE 19,SN,127,134
MARYSVILLE 14,SN,188,212
MARYSVILLE 12,SN,200,130
Total,SN,23560,20077
MARYSVILLE 16,SN,167,193
OSBORN,SN,142,123
SUNRISE,SN,173,100
MILL CREEK 19,SN,216,197
