Row Label,County,Bob McCaslin,Diana Wilhite
PCT 4414,SP,333,211
PCT 4415,SP,226,171
PCT 4416,SP,253,197
PCT 4417,SP,164,125
PCT 4410,SP,285,264
PCT 4411,SP,296,203
PCT 4412,SP,202,163
PCT 4413,SP,251,193
PCT 4418,SP,284,195
PCT 4419,SP,284,203
PCT 4201,SP,128,82
PCT 4200,SP,187,172
PCT 4449,SP,132,141
PCT 4448,SP,211,156
PCT 4407,SP,275,208
PCT 4406,SP,226,201
PCT 4405,SP,301,212
PCT 4404,SP,305,217
PCT 4403,SP,272,225
PCT 4402,SP,219,196
PCT 4401,SP,267,241
PCT 4400,SP,228,205
PCT 4409,SP,375,309
PCT 4408,SP,355,284
PCT 4438,SP,398,252
PCT 4439,SP,285,188
PCT 4432,SP,310,176
PCT 4433,SP,168,169
PCT 4430,SP,283,224
PCT 4431,SP,223,171
PCT 4436,SP,399,290
PCT 4437,SP,303,226
PCT 4434,SP,406,291
PCT 4435,SP,323,218
PCT 4300,SP,227,164
PCT 4301,SP,136,118
PCT 4302,SP,262,211
PCT 4303,SP,271,223
PCT 4304,SP,164,158
PCT 4305,SP,173,136
PCT 4306,SP,308,197
PCT 4307,SP,49,46
PCT 4429,SP,299,235
PCT 4428,SP,212,134
PCT 4425,SP,210,157
PCT 4424,SP,282,174
PCT 4427,SP,357,242
PCT 4426,SP,166,114
PCT 4421,SP,196,171
PCT 4420,SP,116,88
PCT 4423,SP,381,258
PCT 4422,SP,284,198
PCT 4010,SP,253,175
PCT 4011,SP,434,223
PCT 4012,SP,449,284
PCT 4013,SP,276,148
PCT 4014,SP,170,132
PCT 4015,SP,183,148
PCT 4016,SP,273,211
PCT 4017,SP,299,265
PCT 4018,SP,196,131
PCT 4019,SP,208,141
PCT 4452,SP,217,153
PCT 4453,SP,251,232
PCT 4003,SP,417,255
PCT 4002,SP,307,166
PCT 4001,SP,212,134
PCT 4007,SP,212,132
PCT 4006,SP,365,255
PCT 4005,SP,269,151
PCT 4004,SP,326,215
PCT 4450,SP,130,98
PCT 4451,SP,226,137
PCT 4009,SP,317,145
PCT 4008,SP,198,143
PCT 4454,SP,166,161
PCT 4455,SP,212,158
PCT 4034,SP,228,143
PCT 4035,SP,175,141
PCT 4032,SP,197,103
PCT 4033,SP,204,161
PCT 4030,SP,196,141
PCT 4031,SP,218,182
PCT 4443,SP,152,121
PCT 4442,SP,185,158
PCT 4441,SP,223,130
PCT 4440,SP,304,206
PCT 4447,SP,118,97
PCT 4446,SP,147,117
PCT 4445,SP,243,183
PCT 4444,SP,314,201
PCT 4029,SP,269,204
PCT 4028,SP,348,281
PCT 4021,SP,312,182
PCT 4020,SP,318,215
PCT 4023,SP,110,75
PCT 4022,SP,272,152
PCT 4025,SP,230,223
PCT 4024,SP,179,166
PCT 4027,SP,263,165
PCT 4026,SP,247,158
Total,SP,25268,18301
