Row Label,County,Steve Tharinger,Thomas W. Greisamer
BLUFFS 210,CM,134,160
PORT ANGELES 109,CM,427,296
PORT ANGELES 108,CM,180,125
BELLEVIEW 205,CM,265,252
CARLSBORG 214,CM,167,223
PORT ANGELES 103,CM,371,273
PORT ANGELES 102,CM,385,206
PORT ANGELES 101,CM,208,168
OLYMPIC 254,CM,181,196
PORT ANGELES 107,CM,394,241
PORT ANGELES 106,CM,248,220
PORT ANGELES 105,CM,336,222
PORT ANGELES 104,CM,282,143
AGNEW 201,CM,201,226
JAMESTOWN 240,CM,194,155
FRESHWATER BAY 233,CM,308,380
DUNGENESS EAST 222,CM,317,321
SUN 269,CM,58,106
CLARK 216,CM,114,79
MOUNT PLEASANT 251,CM,238,228
PORT WILLIAMS 258,CM,162,137
MILLER PENINSULA 246,CM,170,125
ELK 229,CM,64,66
FAIRVIEW 232,CM,265,302
OBRIEN 253,CM,176,258
HAPPY VALLEY 237,CM,126,162
EAGLE 226,CM,176,229
COYOTE 218,CM,313,261
BOGACHIEL 212,CM,55,115
ROBIN HILL 266,CM,182,224
PRAIRIE NORTH 259,CM,227,252
JOYCE 241,CM,268,340
NEAH BAY 252,CM,169,39
SEQUIM 406,CM,235,206
MADISON CREEK 248,CM,83,107
FORKS 301,CM,119,141
DEER PARK 220,CM,261,297
DIAMOND POINT 221,CM,263,255
BEAVER 204,CM,127,229
MONTERRA 249,CM,261,252
PORT ANGELES 110,CM,79,66
PORT ANGELES 111,CM,395,266
PORT ANGELES 112,CM,196,161
PORT ANGELES 113,CM,193,196
QUILEUTE 262,CM,92,76
CLINE 217,CM,310,223
FORKS 302,CM,148,236
BELL HILL 207,CM,239,296
PRAIRIE SOUTH 260,CM,227,270
MOUNT ANGELES 250,CM,171,153
SUNLAND NORTH 270,CM,292,266
BLYN 211,CM,225,223
DUNGENESS WEST 223,CM,145,140
BLUE MOUNTAIN 209,CM,265,272
MACLEAY 247,CM,273,257
SEQUIM 404,CM,341,364
SEQUIM 405,CM,218,212
SEQUIM 402,CM,146,132
SEQUIM 403,CM,289,233
DRY CREEK 224,CM,241,197
CLALLAM BAY 215,CM,130,123
LOST MOUNTAIN 245,CM,145,188
SEQUIM 401,CM,156,121
RIVERSIDE 265,CM,276,221
BLACK DIAMOND 208,CM,162,163
SUNLAND SOUTH 271,CM,175,184
ELWHA 230,CM,71,88
Total,CM,14310,13544
