Row Label,County,Kristine Lytton,Daniel R. Miller
ANACORTES 20,SK,417,304
ANACORTES 21,SK,508,404
ANACORTES 22,SK,351,278
MOUNT VERNON 22,SK,379,366
ANACORTES 24,SK,559,459
GEAR,SK,187,264
BURLINGTON 7,SK,109,125
BOW,SK,310,238
BURLINGTON 3,SK,72,26
ANACORTES 5,SK,4,9
AVON,SK,201,174
BAY VIEW,SK,189,181
MARCH POINT,SK,16,11
POINT WILLIAMS,SK,206,147
BURLINGTON 2,SK,124,106
EDISON,SK,135,130
MOUNT VERNON 14,SK,306,218
FIDALGO,SK,303,258
ANACORTES  6,SK,231,182
ANACORTES  7,SK,548,303
ANACORTES  4,SK,195,93
BURLINGTON 4,SK,156,150
MOUNT VERNON 19,SK,251,217
ANACORTES  1,SK,268,115
MOUNT VERNON  4,SK,304,274
MOUNT VERNON  5,SK,62,52
MOUNT VERNON  6,SK,227,97
BURLINGTON 1,SK,107,81
BURLINGTON 6,SK,107,106
MOUNT VERNON  1,SK,97,69
RIVERBEND,SK,12,5
MOUNT VERNON  3,SK,218,148
ANACORTES 11,SK,378,220
ANACORTES 17,SK,522,231
MAPES,SK,81,64
BELFAST,SK,98,135
MOUNT VERNON  2,SK,109,76
BURLINGTON 5,SK,201,202
MOUNT VERNON 15,SK,152,114
BLANCHARD(*),SK,0,0
PADILLA,SK,47,57
GUEMES,SK,292,104
MOUNT VERNON 21,SK,374,288
LOOKOUT,SK,256,242
DUNBAR,SK,49,37
ANACORTES  9,SK,276,194
VIEW TERRACE(*),SK,0,0
Total,SK,10257,7768
