Row Label,County,Donna J. Deal
PATAHA,GA,132
PING - VOTE BY MAIL,GA,19
PEOLA-VOTE BY MAIL,GA,12
TUCANNON - VB MAIL,GA,57
WARD 3,GA,197
GROUSE-VOTE BY MAIL,GA,2
WARD 1,GA,101
MAYVIEW-VOTE BY MAIL,GA,39
SCOGGIN - VB MAIL,GA,89
Total,GA,1024
WARD 4,GA,141
WARD 2,GA,194
PLEASANT-VB MAIL,GA,41
