Row Label,County,Repealed,Maintained
Ephrata 7 012,GR,175,128
Hartline Rural S 020,GR,18,8
Moses Lake 5 029,GR,158,155
Ephrata 9 013,GR,273,221
Beverly 002,GR,26,9
East Wahluke 061,GR,48,42
Royal City 044,GR,61,49
Moses Lake 2 067,GR,155,103
Marlin 024,GR,7,10
Lakeview Park 021,GR,158,117
Moses Lake 9  068,GR,176,154
Coulee City 005,GR,117,85
North Banks Lake 037,GR,40,45
Ephrata Rural E,GR,157,117
Moses Lake 7 033,GR,221,178
George 015,GR,23,17
Mae 023,GR,464,341
Ruff 045,GR,25,26
Cascade Valley 058,GR,317,236
Wilson Crk Rural 056,GR,15,13
Electric City 007,GR,183,155
Coulee Cty Rur N 072,GR,39,37
Moses Lake 1 066,GR,134,95
Smyrna 2 060,GR,17,7
Hartline 019,GR,32,24
Moses Lake 4 031,GR,165,134
Cascade Fairgrnd 004,GR,142,91
Warden 050,GR,102,75
Ephrata 5 008,GR,150,115
Quincy 4 040,GR,86,57
Ephrata 4 011,GR,238,163
Quincy 1 039,GR,138,124
Stratford 049,GR,21,22
Westslope 1 053,GR,65,43
McConihe 1 028,GR,129,71
Marlin Rural 025,GR,22,19
Coulee Cty Rur W 006,GR,49,40
Coulee Cty Rur E 062,GR,10,12
Moses Lake 6 032,GR,275,191
Wheeler 2 070,GR,334,272
Longview 022,GR,222,160
Greenfield 065,GR,31,22
Mattawa Rural 027,GR,277,196
Airport 2 057,GR,120,71
Soap Lake 1 047,GR,138,53
Airport 1 001,GR,142,99
Grand Coulee 018,GR,163,96
Moses Lake 12 036,GR,225,138
Gloyd 017,GR,184,92
Hartline Rural N 073,GR,23,13
Smyrna 1 046,GR,66,55
Westslope 2 059,GR,41,32
Moses Lake 3 030,GR,254,228
Mattawa 026,GR,24,17
O Sullivan Dam 2 069,GR,310,314
Soap Lake 2 052,GR,104,70
Quincy Rural S 064,GR,308,231
Ephrata Rural ,GR,142,127
Ephrata 3 010,GR,127,115
Wheeler 1 054,GR,118,105
Warden Rural 051,GR,243,141
George Rural 016,GR,311,186
McConihe 2 063,GR,79,77
Quincy 6 041,GR,249,188
Block 71 003,GR,281,253
Wilson Creek 055,GR,38,36
Quincy Rural N 042,GR,112,107
Moses Lake 8 034,GR,277,237
O Sullivan Dam 1 038,GR,266,208
Soap Lake Rur E ,GR,58,29
Royal Camp 043,GR,253,186
Total,GR,10840,8260
Soap Lake Rur W ,GR,216,124
Ephrata 2 009,GR,166,173
Moses Lake 11 035,GR,307,280
