Row Label,County,Eddie Yoon,Charles W. Johnson
601 Queets,JE,14,16
704 Port Townsend,JE,63,118
101 Gardiner,JE,47,96
501 Port Ludlow I,JE,128,356
200 Coyle,JE,58,123
708 Port Townsend,JE,139,354
302 Center I,JE,61,152
702 Port Townsend,JE,66,154
306 Irondale II,JE,110,271
300 Chimacum I,JE,94,174
102 Port Discovery,JE,47,117
105 Discovery Bay,JE,89,280
305 Irondale I,JE,99,176
710 Port Townsend,JE,75,203
500 Port Ludlow,JE,120,339
106 North Jacob,JE,91,199
503 Port Ludlow III,JE,77,232
301 Chimacum II,JE,46,116
706 Port Townsend,JE,181,392
401 Nordland,JE,129,268
502 Port Ludlow II,JE,78,219
505 Port Ludlow V,JE,87,260
709 Port Townsend,JE,147,294
303 Hadlock,JE,94,287
304 Kala Point,JE,113,314
107 South Jacob,JE,104,280
201 Quilcene,JE,113,294
308 Center II,JE,38,103
705 Port Townsend,JE,81,151
204 Brinnon,JE,136,348
707 Port Townsend,JE,130,371
104 Cape George,JE,120,283
103 Crocker,JE,42,106
600 Hoh,JE,10,22
703 Port Townsend,JE,67,212
700 Port Townsend,JE,117,253
504 Port Ludlow IV,JE,63,154
Total,JE,3408,8386
701 Port Townsend,JE,65,122
307 Four Corners,JE,69,177
