Row Label,County,Nathan Schlicher,Jesse Young
26-302,PI,428,431
26-303,PI,368,405
26-301,PI,98,128
26-328,PI,212,384
26-329,PI,205,467
26-304,PI,440,445
26-305,PI,393,450
26-324,PI,296,355
26-325,PI,263,353
26-326,PI,322,368
26-327,PI,329,321
26-320,PI,288,329
26-321,PI,418,416
26-322,PI,338,352
26-323,PI,402,360
26-348,PI,283,335
26-349,PI,267,368
26-346,PI,265,254
26-337,PI,324,373
26-344,PI,43,26
26-345,PI,264,356
26-342,PI,346,356
26-343,PI,283,312
26-340,PI,352,400
26-341,PI,267,352
26-339,PI,52,59
26-338,PI,233,329
26-315,PI,338,366
26-317,PI,264,365
26-316,PI,340,391
26-319,PI,258,326
26-318,PI,255,284
26-331,PI,75,113
26-330,PI,205,232
26-333,PI,266,406
26-336,PI,311,406
26-335,PI,247,267
26-334,PI,309,353
26-351,PI,262,356
26-350,PI,293,376
26-352,PI,300,314
26-347,PI,215,310
26-332,PI,273,312
Total,PI,11990,14261
