Row Label,County,Suzan DelBene,Pedro Celis
LAKE STEVENS 17,SN,153,155
MISTY,SN,178,150
LAKE STEVENS 15,SN,210,171
REES,SN,58,74
LAKE STEVENS 13,SN,158,117
LAKE STEVENS 12,SN,139,103
LAKE STEVENS 11,SN,107,87
LAKE STEVENS 10,SN,146,158
WAGNER,SN,177,191
SNOHOMISH  4,SN,170,124
ROOSEVELT,SN,88,88
LAKE STEVENS 18,SN,130,134
MILL CREEK 14,SN,7,4
LAKE STEVENS 14,SN,144,132
RAINIER,SN,76,102
PUGET PARK,SN,169,102
SPRUCE,SN,83,106
CLEARVIEW,SN,193,199
RAILROAD,SN,96,124
MILL CREEK 16,SN,110,105
TROMBLEY,SN,165,147
MEADOW,SN,135,136
OUTLOOK,SN,174,127
MENZEL,SN,139,107
PARKSHORE,SN,139,112
FIRTREE,SN,121,127
WHEELER,SN,128,154
VALMONT,SN,92,82
GOLD BAR 1,SN,152,104
DUBUQUE,SN,140,163
IVERSON,SN,104,97
SNOCADE,SN,215,223
MARSH,SN,161,210
GETCHELL,SN,143,128
LARIMER,SN,126,156
ARNOT,SN,128,128
VALLEY,SN,44,49
KINGMAN,SN,295,180
MANN,SN,152,128
CRYSTAL CREEK,SN,115,67
FIR,SN,161,131
PARK PLACE,SN,56,88
FOUR CORNERS,SN,198,116
SILVER FIRS,SN,232,148
STAR CREEK,SN,86,101
PIPELINE,SN,148,154
JIM CREEK,SN,202,213
SISCO,SN,186,180
CASSIDY,SN,133,163
SNOHOMISH 10,SN,64,78
GRANNIS,SN,187,117
TRANGEN,SN,151,128
MILL CREEK 15,SN,183,153
OLNEY,SN,175,164
MILL CREEK 17,SN,193,138
NORDEN,SN,125,128
MILL CREEK 11,SN,126,120
MILL CREEK 12,SN,137,151
STAFFORD,SN,118,94
SEATTLE HILL,SN,141,127
STITCH,SN,59,38
SNOHOMISH  3,SN,193,106
WINDROSE,SN,248,153
LAKE,SN,211,179
SOFIE,SN,93,90
MILL CREEK  3,SN,117,100
MILL CREEK  2,SN,145,135
MILL CREEK  1,SN,222,176
SNOHOMISH  1,SN,188,167
MILL CREEK  7,SN,15,11
MILL CREEK  6,SN,181,232
MAY CREEK,SN,178,140
MILL CREEK  4,SN,147,111
PINEWOOD,SN,168,122
ROBE,SN,107,83
THREE LAKES,SN,113,160
LOOP,SN,172,130
VIEW,SN,164,179
INDEX,SN,51,14
LOST LAKE,SN,129,89
SNOHOMISH  8,SN,236,182
BROCKLIN,SN,157,165
BOTHELL 41,SN,208,166
SUNNYSIDE,SN,35,69
WITHERS,SN,252,136
JORDAN BRIDGE,SN,42,42
LAKE STEVENS  4,SN,149,124
LAKE STEVENS  5,SN,138,115
ELWOOD,SN,159,130
SULTAN RIVER,SN,171,142
LAKE STEVENS  1,SN,205,200
CATHCART,SN,108,121
LAKE STEVENS  3,SN,227,165
KNOX,SN,12,6
CHAIN LAKE,SN,199,205
LAKE STEVENS  8,SN,138,157
LAKE STEVENS  9,SN,126,120
BRYANT,SN,63,62
BURN HILL,SN,183,157
SNOHOMISH  2,SN,135,110
SNOHOMISH  9,SN,103,95
RIDGEWAY,SN,105,94
CREEK,SN,185,177
WOODSHIRE,SN,125,148
STORM LAKE,SN,190,242
KENSINGTON,SN,86,79
FALLS,SN,18,23
MERWIN,SN,87,134
SHORTS,SN,228,198
RIVERVIEW,SN,190,143
HILL,SN,150,113
OSO,SN,105,106
OLDMARK,SN,216,204
POND,SN,146,144
MONROE  5,SN,188,208
LAKE STEVENS 19,SN,151,178
RUGGS LAKE,SN,210,139
SNOHOMISH  7,SN,197,120
BOTHELL 40,SN,240,141
CAVALRY,SN,163,172
BOTHELL 42,SN,258,163
BOTHELL 43,SN,153,104
BOTHELL 44,SN,151,88
BOTHELL 45,SN,93,80
BOTHELL 46,SN,172,132
BOTHELL 47,SN,183,164
HAVEN,SN,198,154
MONROE  6,SN,157,114
WELANGDON,SN,8,11
GRAND FIRS,SN,224,192
PANTHER CREEK,SN,176,133
HIGH BRIDGE,SN,232,253
LAKE STEVENS  6,SN,163,155
PETERSON,SN,225,165
MACHIAS,SN,217,249
MILL CREEK  9,SN,217,121
MINOR,SN,183,146
BOULDER,SN,234,188
MORNING RISE,SN,162,119
MILL CREEK  8,SN,235,169
RICHLAND,SN,53,61
KENWOOD,SN,171,112
KENNARD,SN,148,93
ROBINHOOD,SN,137,113
WOODLAND,SN,94,74
MILL CREEK  5,SN,236,200
DARRINGTON,SN,226,101
WELCH,SN,173,237
MARION,SN,129,134
SPADA,SN,3,4
HIGHLAND,SN,123,125
LAKE STEVENS 16,SN,118,106
HAINES,SN,178,168
SILVER CREEK,SN,166,68
THOMAS CREEK,SN,149,135
MALTBY,SN,179,150
DOUGLAS FIRS,SN,142,113
TRAFTON,SN,106,131
TUCKER,SN,189,139
NEWBERG,SN,116,132
FERNWOOD,SN,167,121
FAIRVIEW,SN,137,120
SLEEPY HOLLOW,SN,164,114
GLENWOOD,SN,115,98
TURNER,SN,227,244
SOUTH LAKE STEVENS,SN,153,171
TAMBARK,SN,159,120
SILER,SN,97,100
MAPLEWOOD,SN,171,144
PIONEER TRAILS,SN,162,144
MILL CREEK 13,SN,152,126
SNOHOMISH  5,SN,263,165
SANDMAN,SN,110,123
WEST FORK,SN,35,69
SKYKOMISH,SN,73,37
TRONSON,SN,115,99
LAKE STEVENS 28,SN,152,133
LAKE STEVENS 26,SN,94,67
LAKE STEVENS 27,SN,88,66
LAKE STEVENS 24,SN,144,85
LAKE STEVENS 25,SN,38,61
LAKE STEVENS 22,SN,161,87
LAKE STEVENS 23,SN,89,133
WINTER LAKE,SN,79,109
LOCHSLOY,SN,170,230
MILL CREEK 10,SN,147,99
TOTEM FALLS,SN,218,213
AIRPARK,SN,27,64
KATTENHORN,SN,255,193
HUCKLEBERRY,SN,95,73
WALLACE,SN,112,110
ARLINGTON 18,SN,0,0
LAKE STEVENS 20,SN,147,145
FIRCREST,SN,110,93
WOODRIDGE,SN,222,176
CREEKSIDE,SN,136,102
PELLERIN,SN,159,129
HARTFORD,SN,88,77
KOKANEE,SN,96,84
MARKS,SN,163,159
BOSWORTH,SN,198,195
GREGORY,SN,125,120
NORTH FORK,SN,84,108
MONROE 12,SN,99,95
HILLSIDE,SN,62,68
MONROE 10,SN,150,201
MONROE 11,SN,55,66
GRANITE FALLS 3,SN,71,52
GRANITE FALLS 2,SN,183,167
GRANITE FALLS 1,SN,175,151
LUDWIG,SN,147,142
SOUTH SNOHOMISH,SN,125,132
PENNANT,SN,215,189
WELLINGTON,SN,248,190
OLYMPUS,SN,140,118
MONROE  1,SN,227,161
MONROE  3,SN,185,140
MONROE  2,SN,176,156
SUNSET,SN,255,163
MONROE  4,SN,206,143
MONROE  7,SN,145,164
PARADISE,SN,160,200
MONROE  9,SN,169,195
MONROE  8,SN,93,124
LAKE STEVENS 21,SN,216,164
TRAIL,SN,86,71
PEAK,SN,6,8
LAKE STEVENS  7,SN,181,177
REDHAWK,SN,215,168
CENTENNIAL,SN,229,209
OWEN,SN,130,145
STILLAGUAMISH,SN,74,50
FERN,SN,44,68
BOTHELL 31,SN,212,159
BOTHELL 33,SN,180,115
BOTHELL 32,SN,127,102
BOTHELL 35,SN,167,110
BOTHELL 34,SN,225,151
BOTHELL 37,SN,210,189
BOTHELL 36,SN,151,128
BOTHELL 39,SN,144,99
BOTHELL 38,SN,190,119
MC FARLAND,SN,171,198
MILL CREEK 21,SN,108,60
MILL CREEK 20,SN,139,122
ARMSTRONG,SN,101,143
MILL CREEK 22,SN,128,74
LUPINE,SN,125,137
HAZEL,SN,246,152
SULTAN 1,SN,161,157
GOLD BAR 2,SN,114,104
SULTAN 3,SN,121,139
SULTAN 2,SN,149,132
GLENBAR,SN,157,90
SULTAN 4,SN,119,105
BLUFF,SN,122,199
SAUK,SN,70,62
DOGWOOD,SN,149,111
OAKS,SN,185,171
HIGH ROCK,SN,122,168
PILOT,SN,159,179
BEECHER,SN,171,187
PILCHUCK,SN,137,139
BERKSHIRE,SN,241,177
OHLDE,SN,143,180
PORTAGE,SN,48,102
OSBORN,SN,138,128
BROOK,SN,251,139
HEIGHTS,SN,139,169
SNOHOMISH  6,SN,119,118
HENNING,SN,201,217
PILCHUCK RIVER,SN,14,8
JORDAN TRAILS,SN,79,92
MILL,SN,162,186
BOSTIAN,SN,115,111
OVERLOOK,SN,207,178
LAKE STEVENS  2,SN,164,137
POINTE,SN,28,21
WOODS CREEK,SN,125,145
ECHO LAKE,SN,193,204
TUALCO,SN,138,117
SEXTON,SN,205,193
BATTERY,SN,124,101
