Row Label,County,Mike Briggs,Brandon Vick
490,CR,167,306
491,CR,15,38
690,CR,290,333
696,CR,296,391
540,CR,205,501
545,CR,140,293
595(*),CR,0,0
935,CR,210,395
920,CR,191,313
925,CR,174,341
538,CR,66,247
591,CR,262,568
590,CR,255,530
593,CR,202,457
592,CR,270,489
594,CR,6,14
597,CR,11,65
598,CR,6,14
700,CR,34,70
449,CR,333,445
985,CR,218,262
448,CR,297,433
524,CR,27,49
527,CR,157,360
521,CR,7,7
522,CR,80,145
523,CR,2,19
914,CR,206,383
917,CR,142,243
910,CR,235,303
913,CR,253,429
912,CR,222,264
586,CR,161,321
587,CR,149,330
584,CR,159,366
585,CR,219,484
582,CR,132,324
583,CR,137,339
580,CR,139,273
581,CR,94,193
440,CR,272,337
447,CR,285,468
446,CR,187,372
445,CR,283,443
444,CR,365,395
588,CR,117,221
903,CR,265,307
900,CR,222,334
905,CR,227,390
645,CR,325,390
644,CR,294,337
647,CR,149,269
648,CR,223,259
515,CR,238,456
620,CR,219,473
625,CR,204,434
450,CR,303,421
451,CR,268,310
452,CR,236,309
455,CR,163,265
456,CR,337,469
505,CR,237,481
502,CR,214,322
503,CR,145,311
500,CR,233,437
631,CR,329,315
964,CR,219,400
965,CR,210,387
966,CR,100,306
967,CR,141,230
960,CR,263,435
961,CR,40,66
962,CR,143,326
963,CR,204,246
968,CR,203,294
969,CR,158,191
605,CR,131,465
600,CR,84,228
603,CR,86,313
959,CR,10,23
958,CR,37,64
951,CR,289,231
950,CR,249,290
953,CR,135,121
957,CR,31,99
618,CR,218,457
613,CR,75,223
610,CR,261,564
485,CR,141,318
480,CR,320,495
947,CR,178,309
Total,CR,16521,28221
596(*),CR,0,0
