Row Label,County,Debra Antes
Yellowhawk 58,WL,27
Touchet 5 56,WL,3
CP 3 63,WL,365
Spruce 24,WL,153
Birch 05,WL,181
Baumeister 04,WL,279
Jefferson 13,WL,410
Ice Harbor 34,WL,317
Alder 02,WL,131
Eureka 4 43,WL,2
Waitsburg 65,WL,360
Lincoln 49,WL,48
CP 1 61,WL,387
Watertown 29,WL,174
Frenchtown 4 45,WL,37
Ritz 53,WL,421
CP 2 62,WL,284
Frenchtown 5 44,WL,162
Alderbrook 01,WL,175
Baker 33,WL,85
Edison 08,WL,211
Pine 21,WL,137
Mill Creek 50,WL,189
Sharpstein 23,WL,181
Gose 47,WL,87
CP 5 67,WL,332
Henderson 11,WL,196
Burbank 38,WL,404
Garfield 09,WL,248
Washington 60,WL,123
Garrison 46,WL,181
Berney 35,WL,198
Isaacs 12,WL,145
Paine 20,WL,90
Pleasant 22,WL,396
Wallula 59,WL,24
Monroe 18,WL,473
Ash 03,WL,298
Dixie 41,WL,198
Touchet 4 55,WL,249
CP 6 68,WL,56
Blalock 36,WL,358
Stadium 25,WL,171
Clyde 39,WL,28
CP 4 66,WL,434
Pros Point 52,WL,720
Wainwright 28,WL,346
Moore 51,WL,176
Eureka 5 42,WL,44
Derry 40,WL,120
College 07,WL,179
Prescott 64,WL,69
Green Park 10,WL,127
Twin Grove 57,WL,178
Tausick 26,WL,188
Marcus 17,WL,531
Braden 37,WL,381
McNary 54,WL,191
Maple 16,WL,381
Total,WL,13409
Abbott 31,WL,238
Clark 06,WL,132
