Row Label,County,Ed Orcutt,John Morgan
Salzer,LE,96,42
Napavine #2,LE,0,0
Packwood,LE,58,31
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,277,137
Union,LE,163,51
Paradise,LE,17,28
Napavine #4,LE,0,0
Mossyrock,LE,89,37
Independence,LE,37,22
Sommerville,LE,45,18
Greenwood,LE,10,5
Stearns Creek,LE,92,34
Elk Crk,LE,68,44
Stillwater East,LE,65,26
Agate,LE,116,51
Skookumchuck,LE,214,97
Silver Creek,LE,201,103
Meskill,LE,45,16
Onalaska,LE,407,194
Jackson,LE,277,124
Napavine #3(*),LE,0,0
Toledo,LE,104,61
Chehalis #9,LE,5,10
Chehalis #8,LE,173,60
Harmony,LE,214,107
Chehalis #1,LE,142,88
Chehalis #3,LE,120,51
Chehalis #2,LE,119,43
Chehalis #5,LE,116,29
Chehalis #4,LE,97,55
Chehalis #7,LE,35,19
Evaline East,LE,82,42
Centralia #2,LE,232,117
Centralia #3,LE,103,39
Centralia #1,LE,95,47
Centralia #6,LE,175,99
Centralia #7,LE,96,41
Centralia #4,LE,149,66
Centralia #5,LE,95,56
Centralia #8,LE,132,44
Centralia #9,LE,237,103
Mineral,LE,99,71
Salkum,LE,187,64
Randle West,LE,149,80
Ethel,LE,314,115
Fair,LE,0,0
Mellen(*),LE,0,0
Parcuvia,LE,189,67
Pe Ell,LE,102,65
Newaukum,LE,231,55
Forest,LE,261,89
Dryad,LE,61,37
Temple,LE,161,117
Cowlitz,LE,372,149
Drews Prairie,LE,118,41
Seminary Hill,LE,115,59
Klickitat,LE,133,69
Verndale,LE,172,118
Cinebar,LE,192,100
Whealdon,LE,171,59
Sears,LE,165,60
Adna ,LE,392,146
Big Bottom,LE,221,108
Fords Prairie,LE,238,103
Jackson North,LE,0,0
Claquato,LE,237,78
Vader,LE,97,47
Logan,LE,206,85
Alpha,LE,298,135
Berwick,LE,330,123
Chehalis #6,LE,248,71
Lincoln Creek,LE,205,57
Randle East,LE,201,96
Salmon Creek,LE,404,134
Emery North(*),LE,0,0
Winlock,LE,157,87
Prescott,LE,464,174
Total,LE,12736,5580
Kelly,LE,0,0
Roswell,LE,8,3
Centralia #10,LE,79,40
Centralia #11,LE,215,115
Centralia #12,LE,298,110
Centralia #13,LE,279,129
Morton,LE,164,84
