Row Label,County,James W. McCroskey
Usk,PE,132
Diamond Lk East,PE,81
Sacheen,PE,171
Diamond Lk,PE,283
Diamond Lk West,PE,125
Noble,PE,233
Furport,PE,178
Deer Valley South,PE,59
Cusick,PE,85
Ione East,PE,118
Kalispel Leclerc,PE,126
Tiger Dry Canyon,PE,217
Ruby,PE,19
Ione West,PE,146
Newport NE,PE,192
Metaline,PE,66
Newport SE,PE,86
Skookum,PE,48
Newport NW,PE,171
Newport SW,PE,153
Dalkena,PE,202
Deer Valley North,PE,160
Locke,PE,27
Fertile Valley South,PE,126
Fertile Valley North,PE,135
Camden,PE,105
Total,PE,3582
Metaline Falls,PE,138
