Row Label,County,Joel Kretz,Ronnie Rae
SHERMAN,FE,181,38
REPUBLIC 2,FE,157,25
REPUBLIC 1,FE,165,25
LAMBERT,FE,66,10
HALL CREEK,FE,77,21
CURLEW,FE,24,6
STORM KING,FE,189,23
TORODA,FE,85,20
BOYDS,FE,108,13
MALO,FE,136,22
SOUTH LAKE,FE,130,14
KETTLE RIVER,FE,169,30
KEWA,FE,61,35
BELCHER,FE,89,8
KELLER,FE,95,16
TROUT CREEK,FE,221,45
Total,FE,2302,447
ORIENT,FE,98,29
SAN POIL,FE,219,31
INCHELIUM,FE,32,36
