Row Label,County,Eddie Yoon,Charles W. Johnson
MARYSVILLE 17,SN,54,178
WAGNER,SN,62,223
LUNDS GULCH,SN,31,61
STRAUS,SN,87,255
EVERETT  73,SN,92,155
LYNNWOOD  6,SN,66,151
EVERETT  71,SN,58,73
MENZEL,SN,59,141
EVERETT  77,SN,43,151
EVERETT  76,SN,55,145
RIDGEWAY,SN,44,124
EVERETT  74,SN,49,93
EVERETT  79,SN,68,154
EVERETT  78,SN,33,85
NILE,SN,0,0
RHODY RIDGE,SN,36,136
LARIMER,SN,63,162
ARNOT,SN,47,146
CHATHAM,SN,13,38
KINGMAN,SN,124,275
MANN,SN,53,177
FIR,SN,60,188
MARYSVILLE 44,SN,96,241
MUKILTEO 18,SN,81,262
MUKILTEO 19,SN,45,176
MARYSVILLE 41,SN,47,128
MARYSVILLE 40,SN,52,140
MARYSVILLE 43,SN,69,178
MARYSVILLE 42,SN,54,158
SILVER FIRS,SN,74,239
PORT SUSAN,SN,90,290
MUKILTEO 10,SN,72,125
MUKILTEO 11,SN,77,168
MUKILTEO 16,SN,93,265
MUKILTEO 17,SN,97,258
MUKILTEO 14,SN,82,248
MUKILTEO 15,SN,35,59
MILL CREEK 18,SN,63,166
MILL CREEK 19,SN,107,233
MILL CREEK 14,SN,4,5
MILL CREEK 15,SN,62,203
MILL CREEK 16,SN,50,115
MILL CREEK 17,SN,68,201
NORDEN,SN,60,145
MILL CREEK 11,SN,55,148
MILL CREEK 12,SN,54,171
STAFFORD,SN,47,122
MC RAE,SN,54,131
SOFIE,SN,35,114
MARYSVILLE 30,SN,88,196
MARYSVILLE 31,SN,117,254
MARYSVILLE 32,SN,55,117
MARYSVILLE 34,SN,62,145
MARYSVILLE 35,SN,59,191
MAY CREEK,SN,68,186
MARYSVILLE 37,SN,40,125
MARYSVILLE 38,SN,60,125
MARYSVILLE 39,SN,62,159
ROBE,SN,46,112
THREE LAKES,SN,57,145
LOOP,SN,68,169
VIEW,SN,74,212
LOST LAKE,SN,33,141
LAKE STEVENS  4,SN,75,131
LAKE STEVENS  5,SN,70,152
WAXON,SN,91,251
LAKE STEVENS  7,SN,89,200
LAKE STEVENS  1,SN,101,236
LAKE STEVENS  2,SN,71,171
LAKE STEVENS  3,SN,104,237
PRIEST POINT,SN,45,108
LAKE STEVENS  8,SN,68,173
LAKE STEVENS  9,SN,69,129
BOTHELL 45,SN,39,95
MONROE  1,SN,79,229
MONROE  3,SN,72,182
EVERETT  90,SN,28,44
STANWOOD 2,SN,56,176
SOUTH SNOHOMISH,SN,56,140
STANWOOD 5,SN,84,214
STANWOOD 4,SN,84,236
LYNNWOOD 23,SN,76,158
CAVALRY,SN,61,198
LYNNWOOD 21,SN,63,191
SULTAN RIVER,SN,75,171
STANWOOD 7,SN,35,109
LYNNWOOD 25,SN,89,199
LYNNWOOD 24,SN,57,137
WATERS,SN,95,235
MONROE  6,SN,55,164
EVERETT   4,SN,70,174
MARYSVILLE 22,SN,86,256
