Row Label,County,Steve O'Ban,Tami Green
28-590,PI,13,4
28-552,PI,353,313
28-574(*),PI,0,0
28-551,PI,423,317
28-555,PI,379,337
28-589,PI,364,162
28-554,PI,416,216
28-565,PI,278,189
28-566,PI,285,198
28-567,PI,339,208
28-560,PI,494,245
28-557,PI,247,236
28-562,PI,198,115
28-563,PI,83,91
28-586,PI,276,176
28-587,PI,211,123
28-584,PI,209,122
28-545,PI,325,251
28-568,PI,336,217
28-583,PI,196,133
28-580,PI,65,28
28-581,PI,163,132
28-506,PI,286,379
28-507,PI,208,306
28-504,PI,318,319
28-505,PI,399,348
28-502,PI,264,398
28-503,PI,272,371
28-526,PI,280,205
28-501,PI,320,358
28-528,PI,344,322
28-529,PI,298,246
28-540,PI,422,323
28-541,PI,313,254
28-546,PI,337,225
28-547,PI,376,345
28-508,PI,126,143
28-509,PI,0,0
28-585,PI,349,201
28-550,PI,241,205
28-548,PI,257,247
28-520,PI,255,350
28-575(*),PI,0,0
28-521,PI,343,342
28-588,PI,363,183
28-582,PI,112,88
28-522,PI,360,321
28-573,PI,131,194
28-572,PI,223,248
28-571,PI,7,5
28-523,PI,436,259
28-577,PI,10,7
28-576,PI,321,252
28-556,PI,254,240
28-524,PI,384,360
28-579,PI,45,27
28-578,PI,76,32
28-549,PI,347,233
28-559,PI,360,187
28-525,PI,391,344
28-515,PI,393,370
28-558,PI,252,202
28-517,PI,343,342
28-516,PI,361,312
28-538,PI,257,273
28-537,PI,382,301
28-536,PI,357,319
28-535,PI,338,372
28-527,PI,414,332
28-519,PI,330,327
28-518,PI,280,333
28-531,PI,312,276
28-530,PI,125,149
28-542,PI,349,262
28-570,PI,3,6
28-543,PI,306,196
Total,PI,20945,17503
28-553,PI,356,284
28-561,PI,230,141
