Row Label,County,Douglas J. Smith,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
LFP 46-3380,KI,208,579,158,368,0,2
SHL 32-1236,KI,87,268,61,148,0,0
SHL 32-0038,KI,160,498,83,247,0,4
LFP 46-0397,KI,106,397,96,204,0,2
KMR 46-0820,KI,114,365,96,212,0,2
KMR 46-2771,KI,223,699,185,412,0,4
SHL 32-0665,KI,128,414,88,218,0,2
SHL 32-0335,KI,113,414,81,195,0,1
SHL 32-1209,KI,132,478,128,262,0,2
SHL 32-0232,KI,105,386,125,231,0,1
SHL 32-3556,KI,130,436,104,239,0,5
SHL 32-2753,KI,112,465,70,184,0,2
SHL 32-0861,KI,210,696,115,331,0,6
SHL 32-0866,KI,128,432,85,215,0,2
LFP 46-0003,KI,146,477,126,273,0,1
KMR 46-0501,KI,165,546,137,304,0,2
SHL 32-0024,KI,151,449,112,269,0,6
SHL 32-1197,KI,114,352,76,191,0,1
SHL 32-0711,KI,106,337,101,208,0,1
SHL 32-1210,KI,165,535,115,284,0,4
SHL 32-0558,KI,68,310,70,138,0,0
SHL 32-0559,KI,86,308,69,157,0,2
LFP 46-1056,KI,174,536,156,332,0,2
SHL 32-0898,KI,91,295,86,177,0,0
SHL 32-0897,KI,122,446,107,233,0,4
SHL 32-0895,KI,118,484,100,218,0,0
SHL 32-0423,KI,114,389,108,224,0,2
SHL 32-0424,KI,105,318,84,192,0,3
SHL 32-1053,KI,128,364,98,227,0,1
SHL 32-0346,KI,74,256,54,131,0,3
SHL 32-1038,KI,87,254,48,136,0,1
KMR 46-1181,KI,95,295,72,169,0,2
KMR 46-0696,KI,237,728,215,455,0,3
KMR 46-0695,KI,154,532,144,299,0,1
LFP 46-2439,KI,102,311,98,200,0,0
SHL 32-0296,KI,112,377,86,201,0,3
SHL 32-0888,KI,72,264,70,142,0,0
SHL 32-0527,KI,166,626,105,274,0,3
LFP 46-1186,KI,131,436,119,250,0,0
LFP 46-0517,KI,118,445,151,273,0,4
SHL 32-0454,KI,87,300,86,173,0,0
SHL 32-0357,KI,164,501,98,264,0,2
KMR 46-0689,KI,202,550,141,347,0,4
SHL 32-0802,KI,125,452,68,194,0,1
SHL 32-0921,KI,99,260,77,176,0,0
SHL 32-0920,KI,90,314,95,188,0,3
KMR 46-0686,KI,162,478,121,283,0,0
SHL 32-1168,KI,143,466,101,246,0,2
SHL 32-0538,KI,112,425,105,219,0,2
LFP 46-1237,KI,163,419,109,275,0,3
KMR 46-0036,KI,216,649,166,383,0,1
SHL 32-0537,KI,116,337,96,212,0,0
SHL 32-0530,KI,93,282,85,179,0,1
SHL 32-0735,KI,76,269,65,141,0,0
SHL 32-0444,KI,137,438,122,260,0,1
SHL 32-1178,KI,116,393,70,186,0,0
SHL 32-0368,KI,96,309,82,178,0,0
SHL 32-0832,KI,114,343,105,225,0,6
SHL 32-0819,KI,117,411,92,211,0,2
KMR 46-0535,KI,163,610,161,324,0,0
SHL 32-0692,KI,162,554,135,299,0,2
LFP 46-0309,KI,211,582,173,386,0,2
KMR 46-0677,KI,142,552,132,274,0,0
SHL 32-1080,KI,73,258,61,134,0,0
LFP 46-0734,KI,203,575,144,349,0,2
KMR 46-1095,KI,233,785,187,421,0,1
LFP 46-0650,KI,110,354,108,221,0,3
SHL 32-0470,KI,136,413,118,258,0,4
SHL 32-0474,KI,99,383,88,191,0,4
KMR 46-2444,KI,126,418,110,237,0,1
SHL 32-0378,KI,88,305,61,150,0,1
SHL 32-0277,KI,76,241,56,132,0,0
SHL 32-0274,KI,98,288,87,186,0,1
SHL 32-2552,KI,145,444,99,247,0,3
SHL 32-0903,KI,104,271,65,171,0,2
SHL 32-0514,KI,151,534,161,312,0,0
SHL 32-0510,KI,202,645,162,371,0,7
SHL 32-0754,KI,219,629,169,389,0,1
KMR 46-0340,KI,156,443,150,306,0,0
KMR 46-1147,KI,184,764,184,368,0,0
SHL 32-0462,KI,100,421,104,207,0,3
SHL 32-0519,KI,101,422,81,182,0,0
SHL 32-1158,KI,85,317,70,158,0,3
SHL 32-0267,KI,175,607,121,299,0,3
SHL 32-0917,KI,143,537,108,252,0,1
SHL 32-0914,KI,138,495,151,289,0,0
LFP 46-1089,KI,168,554,150,321,0,3
KMR 46-3594,KI,87,322,67,155,0,1
KMR 46-3592,KI,108,396,81,190,0,1
KMR 46-0572,KI,193,629,161,356,0,2
SHL 32-0396,KI,254,767,141,401,0,6
LFP 46-0092,KI,203,646,134,341,0,4
SHL 32-0012,KI,88,340,68,159,0,3
KMR 46-1171,KI,169,588,110,281,0,2
SHL 32-1021,KI,169,550,135,309,0,5
SHL 32-0609,KI,109,370,72,184,0,3
SHL 32-1106,KI,173,585,125,299,0,1
SHL 32-0494,KI,131,468,119,252,0,2
KMR 46-2754,KI,109,344,102,211,0,0
SHL 32-1020,KI,102,341,76,178,0,0
SHL 32-0499,KI,174,462,113,288,0,1
SHL 32-1228,KI,115,366,80,195,0,0
KMR 46-2462,KI,85,258,77,164,0,2
SHL 32-0605,KI,134,422,121,255,0,0
SHL 32-1140,KI,74,240,56,130,0,0
SHL 32-0606,KI,116,364,66,183,0,1
SHL 32-0319,KI,82,284,59,141,0,0
SHL 32-0648,KI,153,481,77,232,0,2
SHL 32-3363,KI,73,373,89,164,0,2
SHL 32-1101,KI,84,301,73,157,0,0
SHL 32-0844,KI,147,431,127,276,0,2
SHL 32-0001,KI,104,439,68,175,0,3
LFP 46-0400,KI,169,519,142,315,0,4
KMR 46-2765,KI,190,715,170,363,0,3
KMR 46-2764,KI,88,269,67,155,0,0
SHL 32-0486,KI,86,298,98,185,0,1
SHL 32-0488,KI,83,282,53,136,0,0
LFP 46-1075,KI,113,366,104,217,0,0
SHL 32-1030,KI,88,301,54,144,0,2
SHL 32-0241,KI,183,612,107,291,0,1
SHL 32-0401,KI,153,419,128,282,0,1
KMR 46-3148,KI,160,671,154,320,0,6
SHL 32-0088,KI,73,258,47,121,0,1
KMR 46-0573,KI,219,726,136,361,0,6
SHL 32-0407,KI,214,661,169,386,0,3
LFP 46-2763,KI,104,276,80,186,0,2
SHL 32-1077,KI,140,471,81,225,0,4
KMR 46-0473,KI,140,438,109,253,0,4
SHL 32-0875,KI,170,557,141,315,0,4
LFP 46-0655,KI,241,679,184,426,0,1
LFP 46-0654,KI,180,471,123,307,0,4
LFP 46-0653,KI,153,412,129,285,0,3
LFP 46-0652,KI,83,230,72,156,0,1
LFP 46-1143,KI,162,436,135,299,0,2
