Row Label,County,Mary Yu
669,CR,357
668,CR,392
667,CR,350
664,CR,414
663,CR,292
662,CR,428
660,CR,432
130,CR,423
571,CR,400
490,CR,277
491,CR,30
626,CR,386
692,CR,419
693,CR,248
690,CR,424
691,CR,396
696,CR,475
697,CR,527
694,CR,163
695,CR,431
698,CR,368
699,CR,359
450,CR,486
540,CR,417
340,CR,413
400,CR,239
930,CR,382
452,CR,361
935,CR,383
570,CR,385
678,CR,301
679,CR,283
674,CR,357
675,CR,270
677,CR,399
670,CR,431
672,CR,344
455,CR,298
120,CR,489
575,CR,120
914,CR,424
917,CR,268
528,CR,363
910,CR,386
537,CR,161
415,CR,308
535,CR,492
410,CR,484
913,CR,434
298,CR,258
530,CR,156
296,CR,295
370,CR,282
294,CR,264
912,CR,336
925,CR,345
290,CR,400
538,CR,195
591,CR,504
590,CR,511
593,CR,394
592,CR,469
595,CR,218
594,CR,13
597,CR,42
200,CR,452
598,CR,12
629,CR,358
700,CR,68
190,CR,429
985,CR,335
390,CR,479
110,CR,440
113,CR,229
112,CR,40
250,CR,494
536,CR,241
628,CR,448
524,CR,41
525,CR,249
527,CR,313
520,CR,216
521,CR,10
522,CR,138
523,CR,8
420,CR,400
423,CR,324
255,CR,415
425,CR,304
424,CR,464
360,CR,410
426,CR,541
586,CR,337
587,CR,324
449,CR,540
448,CR,515
582,CR,309
583,CR,317
580,CR,274
581,CR,195
441,CR,399
440,CR,399
447,CR,490
446,CR,388
445,CR,517
444,CR,518
245,CR,424
920,CR,315
108,CR,396
240,CR,493
102,CR,329
100,CR,453
615,CR,191
106,CR,374
649,CR,347
104,CR,418
903,CR,395
900,CR,360
905,CR,432
641,CR,166
640,CR,408
643,CR,380
642,CR,179
645,CR,490
644,CR,434
647,CR,266
646,CR,207
436,CR,241
510,CR,270
434,CR,282
435,CR,278
515,CR,469
430,CR,294
588,CR,229
579,CR,16
578,CR,35
627,CR,396
338,CR,387
625,CR,401
624,CR,102
335,CR,329
451,CR,413
337,CR,351
453,CR,383
577,CR,495
330,CR,418
456,CR,556
574,CR,16
600,CR,198
175,CR,314
257,CR,412
170,CR,327
543,CR,378
596,CR,0
654,CR,284
656,CR,209
710,CR,200
180,CR,338
655,CR,379
652,CR,385
653,CR,355
650,CR,410
651,CR,274
505,CR,457
502,CR,352
503,CR,296
500,CR,419
659,CR,406
630,CR,332
631,CR,473
632,CR,218
633,CR,384
634,CR,361
635,CR,313
636,CR,337
560,CR,416
639,CR,363
545,CR,283
460,CR,588
566,CR,276
225,CR,556
160,CR,328
220,CR,314
964,CR,414
965,CR,365
966,CR,263
967,CR,228
960,CR,465
961,CR,73
962,CR,288
963,CR,312
968,CR,353
969,CR,230
658,CR,348
720,CR,323
947,CR,325
605,CR,362
150,CR,261
153,CR,283
606,CR,75
395,CR,118
603,CR,216
555,CR,466
550,CR,472
553,CR,390
584,CR,366
681,CR,328
959,CR,16
958,CR,73
951,CR,337
950,CR,387
953,CR,172
957,CR,80
638,CR,368
327,CR,426
585,CR,479
325,CR,308
620,CR,439
147,CR,332
618,CR,421
563,CR,451
613,CR,170
610,CR,538
617,CR,395
565,CR,345
511,CR,24
648,CR,326
487,CR,200
485,CR,254
673,CR,443
483,CR,570
573,CR,494
480,CR,553
686,CR,298
432,CR,304
576,CR,3
940,CR,342
470,CR,537
689,CR,423
688,CR,338
350,CR,327
685,CR,109
687,CR,380
Total,CR,82054
572,CR,527
680,CR,344
683,CR,358
682,CR,355
