Row Label,County,Rick Larsen,B.J. Guillot
Friday Harbor North,SJ,321,170
San Juan South East,SJ,225,142
Lopez North,SJ,597,226
Total,SJ,5570,2478
Decatur and Outer Is,SJ,21,25
Shaw,SJ,69,39
San Juan West,SJ,380,164
Turn Point,SJ,163,84
San Juan South West,SJ,413,139
Orcas East,SJ,351,169
Eastsound,SJ,463,192
Blakely &amp; Outer Is,SJ,16,16
Friday Harbor South,SJ,241,123
Waldron &amp; Outer Is,SJ,56,10
Orcas Central,SJ,441,156
San Juan North,SJ,291,166
Lopez South,SJ,418,177
Orcas West,SJ,430,185
San Juan East,SJ,295,130
San Juan Central,SJ,379,165
