Row Label,County,Shelly Short,James R. Apker
Usk,PE,145,29
Diamond Lk East,PE,74,28
Sacheen,PE,158,68
Diamond Lk,PE,255,77
Diamond Lk West,PE,117,43
Noble,PE,226,82
Furport,PE,172,51
Deer Valley South,PE,45,19
Cusick,PE,92,34
Ione East,PE,123,28
Kalispel Leclerc,PE,110,31
Tiger Dry Canyon,PE,201,74
Ruby,PE,18,8
Ione West,PE,152,46
Newport NE,PE,166,62
Metaline,PE,78,17
Newport SE,PE,83,27
Skookum,PE,40,19
Newport NW,PE,164,45
Newport SW,PE,127,42
Dalkena,PE,203,61
Deer Valley North,PE,147,54
Locke,PE,26,13
Fertile Valley South,PE,109,43
Fertile Valley North,PE,125,34
Camden,PE,130,44
Total,PE,3411,1120
Metaline Falls,PE,125,41
