Row Label,County,Mary E. Fairhurst
PATAHA,GA,103
PING - VOTE BY MAIL,GA,14
PEOLA-VOTE BY MAIL,GA,10
TUCANNON - VB MAIL,GA,38
WARD 3,GA,152
GROUSE-VOTE BY MAIL,GA,0
WARD 1,GA,83
MAYVIEW-VOTE BY MAIL,GA,30
SCOGGIN - VB MAIL,GA,74
Total,GA,766
WARD 4,GA,102
WARD 2,GA,131
PLEASANT-VB MAIL,GA,29
