Row Label,County,Yes,No
29-620(*),PI,0,0
27-448,PI,9,9
27-449,PI,279,194
27-444,PI,245,193
27-445,PI,226,187
27-446,PI,246,174
27-447,PI,241,194
27-440,PI,322,146
27-441,PI,233,170
27-442,PI,182,154
27-443,PI,207,159
27-428,PI,343,121
27-429,PI,340,159
27-426,PI,333,188
27-427,PI,356,170
27-424,PI,359,216
27-425,PI,363,176
27-422,PI,470,235
27-423,PI,445,182
27-420,PI,446,219
27-421,PI,318,166
28-506,PI,364,236
28-507,PI,264,213
28-504,PI,354,230
28-505,PI,393,294
28-502,PI,343,286
28-503,PI,364,218
28-501,PI,387,245
28-508,PI,163,96
28-509,PI,0,0
27-459,PI,140,133
27-458,PI,194,110
27-453,PI,185,114
27-452,PI,213,198
27-451,PI,217,167
27-450,PI,272,216
27-457,PI,221,164
27-456,PI,176,159
27-455,PI,203,182
27-454,PI,279,192
27-439,PI,329,137
27-438,PI,275,147
27-435,PI,286,234
27-434,PI,279,188
27-437,PI,258,179
27-436,PI,334,169
27-431,PI,98,113
27-430,PI,354,138
27-433,PI,315,192
27-432,PI,265,238
29-626,PI,10,2
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,5,2
29-622,PI,156,142
29-623,PI,44,39
27-408,PI,322,260
27-409,PI,303,235
27-404,PI,132,53
27-405,PI,360,227
27-406,PI,422,339
27-407,PI,315,228
29-601,PI,191,176
29-602,PI,174,142
29-603,PI,226,160
29-604,PI,232,155
29-605,PI,165,167
29-606,PI,231,219
29-607,PI,264,217
29-608,PI,187,165
29-609,PI,162,135
29-619,PI,204,173
29-618,PI,183,141
29-617,PI,188,216
29-616,PI,225,186
29-615,PI,261,208
29-614,PI,253,224
29-613,PI,243,212
29-612,PI,133,93
29-611,PI,66,33
29-610,PI,209,183
27-417,PI,405,210
27-416,PI,361,227
27-415,PI,327,304
27-414,PI,410,200
27-413,PI,350,219
27-412,PI,277,224
27-411,PI,416,315
27-410,PI,318,258
27-419,PI,370,211
27-418,PI,348,207
29-621(*),PI,0,0
27-462,PI,315,246
27-463,PI,220,192
27-460,PI,335,212
27-461,PI,349,263
27-466,PI,242,187
27-467,PI,218,237
27-464,PI,271,186
27-465,PI,219,194
27-468,PI,225,190
Total,PI,25449,17715
