Row Label,County,Michael Largent
ENDICOTT 147,WT,88
LACROSSE IN,WT,97
GARFIELD IN,WT,158
PULLMAN CITY 114,WT,15
PULLMAN 235,WT,262
FARMINGTON 103,WT,29
LAMONT IN,WT,21
PULLMAN 234,WT,51
COLFAX CITY 139,WT,210
PULLMAN CITY 127,WT,22
MALDEN IN,WT,45
PULLMAN CITY 125,WT,14
PULLMAN CITY 124,WT,19
PULLMAN CITY 123,WT,164
PULLMAN CITY 122,WT,80
PULLMAN CITY 121,WT,115
PULLMAN CITY 120,WT,417
UNIONTOWN 109,WT,57
TEKOA 101,WT,52
PULLMAN CITY 129,WT,45
PULLMAN CITY 128,WT,44
COLFAX RURAL 137,WT,230
DUSTY 143,WT,43
ALBION 112,WT,97
COLFAX CITY 142,WT,286
PULLMAN CITY 126,WT,14
COLTON 108,WT,87
COLFAX CITY 141,WT,163
WILCOX 138,WT,128
HAY 144,WT,22
PULLMAN 228,WT,15
ALBION IN,WT,117
COLFAX RURAL 136,WT,126
COLTON IN,WT,159
ROSALIA IN,WT,172
TEKOA IN,WT,180
MALDEN 150,WT,9
HOOPER 145,WT,18
OAKESDALE IN,WT,151
ST JOHN IN,WT,178
LAMONT 148,WT,36
ROSALIA 151,WT,67
ST JOHN 149,WT,180
PULLMAN CITY 135,WT,135
ENDICOTT IN,WT,107
COLFAX CITY 140,WT,192
PULLMAN 218,WT,244
PULLMAN CITY 134,WT,16
OAKESDALE 102,WT,83
PULLMAN CITY 118,WT,215
PULLMAN CITY 119,WT,149
PULLMAN CITY 130,WT,47
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,307
PULLMAN RURAL 111,WT,93
THORNTON 152,WT,49
LACROSSE 146,WT,76
PULLMAN CITY 116,WT,312
PULLMAN CITY 117,WT,124
PALOUSE 107,WT,235
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,140
UNIONTOWN IN,WT,78
STEPTOE 104,WT,90
FARMINGTON IN,WT,56
PULLMAN CITY 113,WT,102
GARFIELD 105,WT,74
Total,WT,7418
