Row Label,County,Kevin M. Korsmo
SHERMAN,FE,130
REPUBLIC 2,FE,116
REPUBLIC 1,FE,130
LAMBERT,FE,51
HALL CREEK,FE,61
CURLEW,FE,19
STORM KING,FE,121
TORODA,FE,53
BOYDS,FE,92
MALO,FE,102
SOUTH LAKE,FE,87
KETTLE RIVER,FE,118
KEWA,FE,69
BELCHER,FE,54
KELLER,FE,80
TROUT CREEK,FE,153
Total,FE,1706
ORIENT,FE,76
SAN POIL,FE,136
INCHELIUM,FE,58
