Row Label,County,Mark R Clinton
ENDICOTT 147,WT,87
LACROSSE IN,WT,95
GARFIELD IN,WT,158
PULLMAN CITY 114,WT,15
PULLMAN 235,WT,249
FARMINGTON 103,WT,26
LAMONT IN,WT,21
PULLMAN 234,WT,53
COLFAX CITY 139,WT,206
PULLMAN CITY 127,WT,17
MALDEN IN,WT,38
PULLMAN CITY 125,WT,14
PULLMAN CITY 124,WT,21
PULLMAN CITY 123,WT,149
PULLMAN CITY 122,WT,72
PULLMAN CITY 121,WT,110
PULLMAN CITY 120,WT,402
UNIONTOWN 109,WT,57
TEKOA 101,WT,51
PULLMAN CITY 129,WT,42
PULLMAN CITY 128,WT,45
COLFAX RURAL 137,WT,213
DUSTY 143,WT,39
ALBION 112,WT,91
COLFAX CITY 142,WT,285
PULLMAN CITY 126,WT,17
COLTON 108,WT,86
COLFAX CITY 141,WT,156
WILCOX 138,WT,125
HAY 144,WT,22
PULLMAN 228,WT,16
ALBION IN,WT,123
COLFAX RURAL 136,WT,123
COLTON IN,WT,156
ROSALIA IN,WT,169
TEKOA IN,WT,177
MALDEN 150,WT,7
HOOPER 145,WT,18
OAKESDALE IN,WT,152
ST JOHN IN,WT,171
LAMONT 148,WT,35
ROSALIA 151,WT,64
ST JOHN 149,WT,173
PULLMAN CITY 135,WT,134
ENDICOTT IN,WT,108
COLFAX CITY 140,WT,189
PULLMAN 218,WT,235
PULLMAN CITY 134,WT,16
OAKESDALE 102,WT,80
PULLMAN CITY 118,WT,211
PULLMAN CITY 119,WT,138
PULLMAN CITY 130,WT,40
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,291
PULLMAN RURAL 111,WT,83
THORNTON 152,WT,48
LACROSSE 146,WT,67
PULLMAN CITY 116,WT,297
PULLMAN CITY 117,WT,114
PALOUSE 107,WT,230
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,135
UNIONTOWN IN,WT,78
STEPTOE 104,WT,85
FARMINGTON IN,WT,53
PULLMAN CITY 113,WT,96
GARFIELD 105,WT,68
Total,WT,7153
