Row Label,County,Kay M. Holland 
02 - GRAYS RIVER,WK,89
07 - COLUMBIA,WK,170
10 - SOUTH CATHLAMET,WK,113
03 - ROSBURG / ALTOONA,WK,110
11 - NORTH CATHLAMET,WK,57
05 - ELOCHOMAN,WK,196
04 - SKAMOKAWA,WK,126
09 - WEST PUGET ISLAND,WK,215
08 - EAST PUGET ISLAND,WK,111
06 - ROSEDALE,WK,111
Total,WK,1370
01 - DEEP RIVER,WK,72
