Row Label,County,Kevin M. Korsmo
PCT 3329,SP,253
PCT 4448,SP,269
PCT 3323,SP,289
PCT 3322,SP,251
PCT 3321,SP,292
PCT 3320,SP,226
PCT 3327,SP,207
PCT 3326,SP,141
PCT 4438,SP,472
PCT 4439,SP,342
PCT 3325,SP,351
PCT 4432,SP,327
PCT 4433,SP,230
PCT 4430,SP,370
PCT 3324,SP,296
PCT 4436,SP,438
PCT 4437,SP,401
PCT 4434,SP,438
PCT 4435,SP,358
PCT 7028,SP,426
PCT 7029,SP,304
PCT 7020,SP,309
PCT 7021,SP,209
PCT 7022,SP,224
PCT 7023,SP,269
PCT 7024,SP,402
PCT 7025,SP,291
PCT 7026,SP,311
PCT 7027,SP,280
PCT 3222,SP,148
PCT 3223,SP,192
PCT 3220,SP,347
PCT 3221,SP,329
PCT 6221,SP,368
PCT 6220,SP,364
PCT 6223,SP,364
PCT 6222,SP,270
PCT 6225,SP,388
PCT 6224,SP,313
PCT 3128,SP,263
PCT 3121,SP,241
PCT 3120,SP,272
PCT 3123,SP,242
PCT 3122,SP,301
PCT 3125,SP,245
PCT 3124,SP,278
PCT 3127,SP,251
PCT 3126,SP,62
PCT 9400,SP,23
PCT 4034,SP,247
PCT 4035,SP,214
PCT 4032,SP,190
PCT 4033,SP,238
PCT 4030,SP,219
PCT 4031,SP,245
PCT 6315,SP,204
PCT 6314,SP,312
PCT 6317,SP,228
PCT 6316,SP,142
PCT 6311,SP,264
PCT 6310,SP,285
PCT 6313,SP,370
PCT 6312,SP,294
PCT 6318,SP,282
PCT 6009,SP,266
PCT 6008,SP,260
PCT 9700,SP,100
PCT 6001,SP,260
PCT 6000,SP,213
PCT 6003,SP,327
PCT 6002,SP,81
PCT 6005,SP,280
PCT 6004,SP,206
PCT 6007,SP,271
PCT 6006,SP,286
PCT 3301,SP,422
PCT 3300,SP,282
PCT 3303,SP,311
PCT 3302,SP,314
PCT 3305,SP,228
PCT 3304,SP,304
PCT 3307,SP,214
PCT 3306,SP,302
PCT 3309,SP,302
PCT 3308,SP,309
PCT 6500,SP,69
PCT 6218,SP,305
PCT 6219,SP,305
PCT 6210,SP,378
PCT 6211,SP,237
PCT 6212,SP,209
PCT 6213,SP,352
PCT 6214,SP,249
PCT 6215,SP,349
PCT 6216,SP,298
PCT 6217,SP,361
PCT 3110,SP,209
PCT 3111,SP,217
PCT 3112,SP,17
PCT 3113,SP,303
PCT 3114,SP,304
PCT 3115,SP,276
PCT 3116,SP,294
PCT 3117,SP,208
PCT 3118,SP,193
PCT 3119,SP,243
PCT 4429,SP,349
PCT 4428,SP,230
PCT 4425,SP,260
PCT 4424,SP,308
PCT 4427,SP,397
PCT 4426,SP,188
PCT 4421,SP,248
PCT 4420,SP,156
PCT 4423,SP,425
PCT 4422,SP,350
PCT 7033,SP,197
PCT 7032,SP,307
PCT 7031,SP,294
PCT 7030,SP,322
PCT 7036,SP,239
PCT 7035,SP,203
PCT 7034,SP,206
PCT 6602,SP,309
PCT 6601,SP,266
PCT 6600,SP,292
PCT 6030,SP,412
PCT 6031,SP,224
PCT 6032,SP,166
PCT 6033,SP,414
PCT 6034,SP,318
PCT 6035,SP,192
PCT 6036,SP,202
PCT 6037,SP,176
PCT 4450,SP,178
PCT 4451,SP,274
PCT 4452,SP,253
PCT 4453,SP,303
PCT 4454,SP,253
PCT 4455,SP,258
PCT 4029,SP,273
PCT 4028,SP,399
PCT 4021,SP,367
PCT 4020,SP,358
PCT 4023,SP,126
PCT 4022,SP,266
PCT 4025,SP,290
PCT 4024,SP,220
PCT 4027,SP,293
PCT 4026,SP,274
PCT 4431,SP,281
PCT 4414,SP,404
PCT 4415,SP,268
PCT 4416,SP,329
PCT 4417,SP,237
PCT 4410,SP,355
PCT 4411,SP,324
PCT 4412,SP,250
PCT 4413,SP,334
PCT 4418,SP,319
PCT 4419,SP,353
PCT 4201,SP,156
PCT 4200,SP,239
PCT 9600,SP,40
PCT 6100,SP,200
PCT 6101,SP,286
PCT 6102,SP,284
PCT 6103,SP,123
PCT 6104,SP,201
PCT 6105,SP,244
PCT 6106,SP,380
PCT 6107,SP,194
PCT 6108,SP,235
PCT 6109,SP,177
PCT 3208,SP,295
PCT 3209,SP,361
PCT 3200,SP,216
PCT 3201,SP,322
PCT 3202,SP,185
PCT 3203,SP,272
PCT 3204,SP,200
PCT 3205,SP,251
PCT 3206,SP,214
PCT 3207,SP,140
PCT 6209,SP,286
PCT 6208,SP,374
PCT 6203,SP,327
PCT 6202,SP,324
PCT 6201,SP,263
PCT 6200,SP,400
PCT 6207,SP,363
PCT 6206,SP,349
PCT 6205,SP,329
PCT 6204,SP,395
