Row Label,County,Rob Chase,Amy Biviano
PCT 3329,SP,119,238
PCT 4448,SP,212,178
PCT 3323,SP,190,266
PCT 3322,SP,159,204
PCT 3321,SP,244,252
PCT 3320,SP,149,199
PCT 3327,SP,130,194
PCT 3326,SP,69,113
PCT 4438,SP,421,232
PCT 4439,SP,286,206
PCT 3325,SP,178,355
PCT 4432,SP,294,219
PCT 4433,SP,198,153
PCT 4430,SP,313,224
PCT 3324,SP,174,252
PCT 4436,SP,459,234
PCT 4437,SP,299,247
PCT 4434,SP,439,269
PCT 4435,SP,346,193
PCT 7028,SP,458,207
PCT 7029,SP,256,190
PCT 7020,SP,360,179
PCT 7021,SP,193,111
PCT 7022,SP,232,173
PCT 7023,SP,227,180
PCT 7024,SP,430,213
PCT 7025,SP,304,161
PCT 7026,SP,323,188
PCT 7027,SP,241,157
PCT 3222,SP,68,170
PCT 3223,SP,94,218
PCT 3220,SP,268,304
PCT 3221,SP,281,249
PCT 6221,SP,366,266
PCT 6220,SP,341,230
PCT 6223,SP,312,295
PCT 6222,SP,271,151
PCT 6225,SP,302,271
PCT 6224,SP,252,244
PCT 3128,SP,155,209
PCT 3121,SP,185,171
PCT 3120,SP,156,211
PCT 3123,SP,173,164
PCT 3122,SP,189,281
PCT 3125,SP,153,193
PCT 3124,SP,174,202
PCT 3127,SP,123,231
PCT 3126,SP,44,36
PCT 9400,SP,27,10
PCT 4034,SP,241,147
PCT 4035,SP,230,98
PCT 4032,SP,208,101
PCT 4033,SP,241,148
PCT 4030,SP,193,153
PCT 4031,SP,278,134
PCT 6315,SP,148,145
PCT 6314,SP,252,203
PCT 6317,SP,212,152
PCT 6316,SP,112,122
PCT 6311,SP,236,176
PCT 6310,SP,226,204
PCT 6313,SP,264,254
PCT 6312,SP,236,181
PCT 6318,SP,250,157
PCT 6009,SP,210,165
PCT 6008,SP,225,159
PCT 9700,SP,98,60
PCT 6001,SP,258,199
PCT 6000,SP,246,101
PCT 6003,SP,360,181
PCT 6002,SP,84,50
PCT 6005,SP,261,162
PCT 6004,SP,210,137
PCT 6007,SP,236,184
PCT 6006,SP,294,174
PCT 3301,SP,333,297
PCT 3300,SP,285,149
PCT 3303,SP,207,234
PCT 3302,SP,252,217
PCT 3305,SP,181,190
PCT 3304,SP,227,225
PCT 3307,SP,170,156
PCT 3306,SP,250,203
PCT 3309,SP,198,229
PCT 3308,SP,231,228
PCT 6500,SP,79,28
PCT 6218,SP,285,198
PCT 6219,SP,272,269
PCT 6210,SP,287,314
PCT 6211,SP,180,200
PCT 6212,SP,142,164
PCT 6213,SP,308,250
PCT 6214,SP,211,244
PCT 6215,SP,234,360
PCT 6216,SP,239,270
PCT 6217,SP,244,318
PCT 3110,SP,133,150
PCT 3111,SP,142,142
PCT 3112,SP,10,9
PCT 3113,SP,202,201
PCT 3114,SP,191,211
PCT 3115,SP,194,195
PCT 3116,SP,204,216
PCT 3117,SP,123,156
PCT 3118,SP,115,160
PCT 3119,SP,142,187
PCT 4429,SP,339,205
PCT 4428,SP,212,135
PCT 4425,SP,222,155
PCT 4424,SP,278,193
PCT 4427,SP,347,255
PCT 4426,SP,163,120
PCT 4421,SP,192,183
PCT 4420,SP,115,105
PCT 4423,SP,369,287
PCT 4422,SP,278,214
PCT 7033,SP,189,128
PCT 7032,SP,278,219
PCT 7031,SP,273,182
PCT 7030,SP,337,193
PCT 7036,SP,205,157
PCT 7035,SP,203,116
PCT 7034,SP,173,126
PCT 6602,SP,291,161
PCT 6601,SP,275,105
PCT 6600,SP,241,191
PCT 6030,SP,432,233
PCT 6031,SP,223,146
PCT 6032,SP,209,91
PCT 6033,SP,462,258
PCT 6034,SP,383,153
PCT 6035,SP,190,116
PCT 6036,SP,185,114
PCT 6037,SP,191,79
PCT 4450,SP,132,111
PCT 4451,SP,210,159
PCT 4452,SP,239,140
PCT 4453,SP,314,172
PCT 4454,SP,166,181
PCT 4455,SP,231,160
PCT 4029,SP,287,187
PCT 4028,SP,429,238
PCT 4021,SP,324,192
PCT 4020,SP,335,215
PCT 4023,SP,107,72
PCT 4022,SP,279,166
PCT 4025,SP,298,160
PCT 4024,SP,217,144
PCT 4027,SP,290,147
PCT 4026,SP,293,124
PCT 4431,SP,228,184
PCT 4414,SP,344,224
PCT 4415,SP,229,180
PCT 4416,SP,250,214
PCT 4417,SP,162,150
PCT 4410,SP,316,245
PCT 4411,SP,313,211
PCT 4412,SP,234,152
PCT 4413,SP,249,216
PCT 4418,SP,287,196
PCT 4419,SP,314,190
PCT 4201,SP,103,116
PCT 4200,SP,191,186
PCT 9600,SP,52,17
PCT 6100,SP,150,126
PCT 6101,SP,223,170
PCT 6102,SP,225,178
PCT 6103,SP,78,89
PCT 6104,SP,147,160
PCT 6105,SP,183,192
PCT 6106,SP,279,257
PCT 6107,SP,158,146
PCT 6108,SP,162,175
PCT 6109,SP,145,111
PCT 3208,SP,191,233
PCT 3209,SP,248,267
PCT 3200,SP,114,236
PCT 3201,SP,157,336
PCT 3202,SP,96,170
PCT 3203,SP,144,275
PCT 3204,SP,113,223
PCT 3205,SP,143,246
PCT 3206,SP,93,248
PCT 3207,SP,90,137
PCT 6209,SP,183,292
PCT 6208,SP,262,342
PCT 6203,SP,177,449
PCT 6202,SP,223,274
PCT 6201,SP,234,197
PCT 6200,SP,256,345
PCT 6207,SP,308,301
PCT 6206,SP,221,405
PCT 6205,SP,199,417
PCT 6204,SP,225,497
PCT 3103,SP,130,142
PCT 3102,SP,108,124
PCT 3101,SP,146,159
PCT 3100,SP,161,182
PCT 3107,SP,175,207
PCT 3106,SP,173,170
PCT 3105,SP,122,203
PCT 3104,SP,185,203
PCT 3109,SP,153,180
PCT 3108,SP,148,136
PCT 4010,SP,293,162
PCT 4011,SP,481,196
PCT 4012,SP,525,231
PCT 4013,SP,300,137
PCT 4014,SP,178,146
PCT 4015,SP,222,142
PCT 4016,SP,316,201
PCT 4017,SP,350,247
PCT 4018,SP,214,120
PCT 4019,SP,227,138
PCT 6704,SP,241,190
PCT 6702,SP,142,167
PCT 6703,SP,179,219
PCT 6700,SP,234,180
PCT 6701,SP,191,223
PCT 7008,SP,412,188
PCT 7009,SP,459,221
PCT 7006,SP,358,180
PCT 7007,SP,301,160
PCT 7004,SP,374,140
PCT 7005,SP,492,246
PCT 7002,SP,272,103
PCT 7003,SP,380,140
PCT 7000,SP,478,211
PCT 7001,SP,258,133
PCT 6023,SP,180,95
PCT 6022,SP,281,219
PCT 6021,SP,260,181
PCT 6020,SP,332,373
PCT 6027,SP,262,203
PCT 6026,SP,433,264
PCT 6025,SP,217,147
PCT 6024,SP,178,122
PCT 6029,SP,295,164
PCT 6028,SP,238,140
PCT 4449,SP,142,160
PCT 3328,SP,153,290
PCT 4443,SP,181,97
PCT 4442,SP,207,138
PCT 4441,SP,221,144
PCT 4440,SP,318,210
PCT 4447,SP,117,114
PCT 4446,SP,141,147
PCT 4445,SP,258,173
PCT 4444,SP,337,194
Total,SP,82556,63954
PCT 7301,SP,231,114
PCT 7300,SP,285,126
PCT 7302,SP,220,111
PCT 4407,SP,258,247
PCT 4406,SP,229,232
PCT 4405,SP,303,238
PCT 4404,SP,335,205
PCT 4403,SP,279,254
PCT 4402,SP,234,216
PCT 4401,SP,280,270
PCT 4400,SP,235,235
