Row Label,County,Ben Elenbaas,Chet Dow,Stan Snapp,Judd Morse,Susan Gribbin,Sherryl (Sherry) Nelson,Rebecca Boonstra,Atul Deshmane,Cliff Langley,Ken Bell,Kate Blystone,Branden Brink,Matt Weeda,Bob Johnson,Larry Nicholas,Joe Elenbaas,Bob Bandarra
151,WM,305,168,135,100,124,85,68,25,193,226,133,104,67,55,60,231,89
150,WM,319,204,111,90,94,58,43,20,194,266,110,115,89,34,40,243,90
153,WM,257,172,98,74,78,68,59,20,184,198,94,60,47,46,36,208,64
141    ,WM,393,209,82,77,84,80,85,20,240,232,102,180,68,51,38,299,69
155,WM,182,121,62,43,52,46,48,13,120,146,58,80,44,33,27,131,39
213,WM,169,102,237,204,233,150,78,31,98,144,271,40,40,50,55,136,180
157,WM,83,45,53,47,51,43,17,14,55,83,64,34,26,21,22,65,44
211,WM,163,121,133,99,137,106,76,37,107,144,142,39,54,48,48,121,94
160    ,WM,161,92,160,112,127,96,54,33,120,146,167,64,60,32,49,135,86
214,WM,86,61,214,157,183,107,52,45,70,83,218,13,21,26,22,71,157
218,WM,117,61,85,70,123,96,77,29,81,100,118,29,34,39,36,87,54
219,WM,116,76,170,110,152,111,73,34,76,110,167,21,43,23,40,99,94
140    ,WM,555,302,71,77,57,57,117,17,318,350,58,268,105,58,36,396,38
152,WM,239,164,129,98,110,74,46,23,149,190,127,61,39,34,49,197,86
217,WM,145,111,96,84,101,76,44,26,107,144,95,39,38,36,28,135,55
144    ,WM,501,297,47,42,43,41,86,10,240,314,46,292,100,23,37,319,22
235,WM,90,65,110,85,87,58,32,17,75,82,122,36,27,25,40,77,68
234,WM,170,126,195,134,172,74,57,33,141,160,204,60,48,30,63,144,111
212,WM,74,43,61,53,62,43,42,10,47,65,73,34,24,27,20,59,43
139,WM,203,100,19,20,24,16,29,4,99,121,23,111,44,24,10,155,17
163    ,WM,140,99,161,124,147,91,51,29,128,125,168,64,37,27,43,122,114
236,WM,61,38,76,53,72,42,29,9,30,65,90,27,21,10,18,51,51
233,WM,126,72,171,125,156,89,51,27,81,110,171,35,47,44,43,108,124
801,WM,225,115,43,31,40,55,56,24,133,129,47,83,36,35,38,168,32
154    ,WM,175,73,90,79,78,68,47,17,81,104,87,66,30,27,32,127,70
237,WM,72,36,111,90,98,56,21,15,38,88,101,33,27,14,16,63,78
603,WM,285,139,67,48,57,52,64,11,136,161,68,119,59,34,28,215,43
606    ,WM,351,177,65,59,64,55,76,13,188,223,72,184,97,39,21,269,47
162    ,WM,119,75,109,76,97,60,51,15,93,140,117,48,38,41,52,106,74
602,WM,368,236,66,54,68,62,71,6,218,256,69,197,80,52,28,266,64
610    ,WM,451,241,83,87,64,48,103,12,225,286,68,254,116,31,34,337,67
401,WM,193,83,40,27,31,35,39,9,107,125,42,48,42,31,27,126,35
609    ,WM,434,223,62,65,48,68,66,8,250,302,81,231,102,37,38,330,46
161    ,WM,111,55,91,68,87,56,38,16,72,96,106,27,19,23,23,90,56
147,WM,295,162,97,92,102,65,73,9,172,171,102,110,68,16,34,233,77
156    ,WM,101,68,40,40,45,47,28,11,56,84,43,45,34,14,24,70,40
142,WM,167,67,71,73,92,71,98,16,115,103,103,62,39,44,45,140,66
145    ,WM,370,208,114,92,113,88,91,23,212,271,118,192,84,72,51,269,79
208,WM,139,58,275,221,267,181,98,56,88,125,316,38,48,57,66,109,210
148,WM,250,116,84,88,109,98,123,28,168,153,100,77,52,42,46,202,56
149,WM,236,146,73,46,57,56,47,12,145,180,67,94,63,26,27,168,38
215,WM,76,34,281,216,222,116,42,27,52,68,283,20,45,26,28,63,201
402    ,WM,239,125,77,59,68,60,47,17,135,144,73,58,45,32,19,171,50
229,WM,104,60,167,126,163,111,61,43,69,100,191,32,44,40,61,87,131
607    ,WM,367,204,50,49,41,42,71,8,194,234,47,206,72,44,25,238,44
611    ,WM,298,150,38,34,30,37,60,9,158,195,29,167,66,23,15,214,25
223,WM,38,20,170,143,123,100,28,27,29,36,175,24,18,19,20,31,134
604    ,WM,351,179,28,36,34,49,65,7,169,228,48,185,69,50,25,239,28
221,WM,199,123,129,119,130,86,41,32,161,191,154,57,32,38,55,173,91
220,WM,136,77,86,70,96,94,56,35,80,110,123,37,47,26,41,103,58
701,WM,285,141,67,63,78,70,74,15,158,160,69,108,67,45,39,209,41
143    ,WM,107,57,87,67,88,69,89,22,82,70,100,24,22,25,29,91,72
608    ,WM,306,174,58,54,54,59,77,12,138,200,60,166,78,25,36,216,52
158    ,WM,97,58,60,49,60,34,33,13,76,92,55,36,24,20,22,74,43
146    ,WM,403,231,101,87,107,96,86,22,222,289,92,146,84,50,44,307,61
216,WM,105,62,235,191,218,116,58,38,67,70,258,36,36,27,36,87,177
238,WM,132,63,147,101,89,61,23,11,78,150,116,50,28,23,32,114,72
601,WM,455,225,71,65,86,93,133,14,254,295,98,242,120,51,39,356,51
Total,WM,12999,7270,6174,4988,5729,4262,3616,1186,7737,9429,6559,5426,3121,2044,2100,9877,4343
159    ,WM,65,40,31,19,29,21,27,4,39,48,26,11,13,12,21,51,12
605,WM,239,120,34,26,27,20,41,3,126,148,34,107,54,37,23,176,33
