Row Label,County,David Frockt,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Van Sperry
LFP 46-3380,KI,254,579,27,368,0,1,86
SEA 46-2328,KI,101,299,20,147,0,0,26
SEA 46-3688,KI,14,24,0,15,0,0,1
KMR 46-0820,KI,133,365,10,212,0,1,68
KMR 46-2771,KI,220,699,30,412,0,1,161
SEA 46-3687,KI,95,220,13,143,0,0,35
SEA 46-2304,KI,184,369,19,233,0,0,30
SEA 46-2305,KI,188,364,21,253,0,1,43
SEA 46-2306,KI,161,307,16,195,0,0,18
SEA 46-2127,KI,203,494,22,278,0,0,53
SEA 46-2300,KI,260,490,30,327,0,1,36
SEA 46-2302,KI,201,408,25,265,0,0,39
SEA 46-2095,KI,157,279,13,187,0,1,16
SEA 46-2221,KI,228,513,29,298,0,0,41
SEA 46-2308,KI,169,377,18,230,0,0,43
SEA 46-2309,KI,137,300,19,184,0,2,26
LFP 46-0003,KI,180,477,16,273,0,0,77
KMR 46-0501,KI,196,546,18,304,0,2,88
SEA 46-2275,KI,59,127,4,71,0,1,7
SEA 46-2339,KI,124,330,16,171,0,0,31
SEA 46-2338,KI,195,543,17,260,0,0,48
LFP 46-1056,KI,216,536,21,332,0,0,95
SEA 46-2330,KI,180,420,18,232,0,0,34
SEA 46-2333,KI,162,371,17,221,0,1,41
SEA 46-2332,KI,125,248,12,165,0,0,28
SEA 46-2335,KI,201,609,19,268,0,1,47
SEA 46-2334,KI,271,573,12,343,0,0,60
SEA 46-2337,KI,144,347,13,185,0,3,25
SEA 46-2336,KI,278,707,21,350,0,0,51
SEA 46-2347,KI,214,519,26,281,0,2,39
SEA 46-1952,KI,145,281,21,179,0,0,13
SEA 46-1953,KI,146,236,7,175,0,0,22
SEA 46-1954,KI,157,282,11,203,0,0,35
SEA 46-1955,KI,224,558,27,289,0,0,38
SEA 46-1957,KI,207,553,26,354,0,0,121
SEA 46-1959,KI,328,703,53,491,0,2,108
SEA 46-2234,KI,150,274,8,182,0,0,24
SEA 46-2236,KI,158,350,23,218,0,3,34
SEA 46-2796,KI,157,456,22,229,0,1,49
SEA 46-3677,KI,129,320,17,181,0,2,33
SEA 46-2231,KI,279,619,34,366,0,0,53
KMR 46-1181,KI,94,295,14,169,0,0,61
SEA 46-2282,KI,350,653,34,429,0,0,45
KMR 46-0696,KI,296,728,20,455,0,1,138
KMR 46-0695,KI,176,532,27,299,0,1,95
LFP 46-2439,KI,141,311,11,200,0,0,48
SEA 46-2321,KI,192,333,17,225,0,0,16
SEA 46-1284,KI,117,278,10,140,0,0,13
SEA 46-1285,KI,140,303,13,182,0,0,29
SEA 46-2286,KI,226,437,17,279,0,0,36
SEA 46-2280,KI,320,645,33,396,0,0,43
SEA 46-1282,KI,295,656,42,399,0,2,60
SEA 46-1283,KI,159,391,12,204,0,0,33
SEA 46-2326,KI,197,574,24,271,0,0,50
SEA 46-2327,KI,134,381,25,190,0,0,31
SEA 46-2324,KI,188,432,19,237,0,1,29
SEA 46-2325,KI,152,405,16,242,0,0,74
SEA 46-2289,KI,160,338,23,203,0,0,20
SEA 46-2323,KI,232,554,34,310,0,1,43
LFP 46-1186,KI,169,436,27,250,0,2,52
LFP 46-0517,KI,204,445,25,273,0,1,43
SEA 46-1965,KI,156,292,20,190,0,0,14
SEA 46-1964,KI,202,499,21,247,0,0,24
SEA 46-1967,KI,261,497,19,320,0,0,40
SEA 46-1966,KI,125,234,3,144,0,0,16
SEA 46-1961,KI,135,272,17,182,0,0,30
SEA 46-1963,KI,121,278,15,152,0,0,16
SEA 46-1962,KI,152,295,18,208,0,0,38
SEA 46-2379,KI,252,542,31,332,0,0,49
SEA 46-1969,KI,114,278,19,169,0,0,36
SEA 46-1968,KI,135,297,13,177,0,0,29
SEA 46-2094,KI,157,283,9,178,0,0,12
KMR 46-0689,KI,216,550,16,347,0,1,114
SEA 46-2096,KI,141,230,14,162,0,0,7
SEA 46-2097,KI,215,400,27,257,0,0,15
SEA 46-2090,KI,200,494,19,262,0,0,43
SEA 46-2091,KI,196,451,30,265,0,1,38
SEA 46-2092,KI,199,311,9,225,0,0,17
SEA 46-2093,KI,279,462,15,317,0,0,23
SEA 46-2098,KI,233,436,20,285,0,0,32
SEA 46-2099,KI,228,437,22,293,0,1,42
KMR 46-0686,KI,179,478,23,283,0,0,81
SEA 46-2267,KI,174,518,22,241,0,0,45
SEA 46-2298,KI,159,321,20,205,0,0,26
SEA 46-2299,KI,191,393,20,229,0,0,18
SEA 46-2349,KI,167,382,13,220,0,1,39
SEA 46-2292,KI,235,505,16,288,0,0,37
SEA 46-2293,KI,230,441,26,292,0,0,36
SEA 46-2290,KI,147,289,16,195,0,1,31
