Row Label,County,Jim DeTro
JENNINGS LOOP,OK,26
MOCCASIN LAKE,OK,45
TONASKET CREEK,OK,27
FINLEY CANYON,OK,57
TUNK CREEK,OK,66
NORTH TONASKET,OK,57
FLETCHER,OK,40
GREENACRES,OK,29
OMAK #21,OK,28
BUCKHORN MTN,OK,43
GLOVER,OK,54
OMAK #22,OK,38
OMAK #23,OK,20
OMAK #24,OK,32
WEST CHEWUCH,OK,42
OKANOGAN #13,OK,21
METHOW,OK,56
ELMWAY,OK,32
BREWSTER FLAT,OK,36
TEAL LAKE,OK,31
TONASKET RURAL,OK,26
NORTH STAR,OK,11
NESPELEM CITY,OK,17
VALLEY,OK,36
OMAK RIVER,OK,40
BREWSTER #6,OK,19
OWHI,OK,27
AENEAS CREEK,OK,43
OMAK #19,OK,29
PINE CONE,OK,31
ASTON,OK,24
BREWSTER #2,OK,60
BREWSTER #3,OK,29
BREWSTER RURAL,OK,47
BREWSTER #1,OK,23
WHISKY MTN,OK,14
BREWSTER #4,OK,15
LIME BELT,OK,23
ELLISFORDE,OK,50
ALMA,OK,37
OROVILLE #8,OK,30
AENEAS LAKE,OK,66
OMAK #13,OK,31
SUNSET LAKES,OK,16
OMAK #6,OK,36
PALMER LAKE,OK,47
CARLTON,OK,27
OMAK #5,OK,48
OMAK #2,OK,34
MAZAMA,OK,46
FIKER,OK,37
OMAK #1,OK,26
PATEROS #3,OK,21
PATEROS #2,OK,34
PATEROS #1,OK,33
OKANOGAN #6,OK,42
OMAK #8,OK,19
BLACK CANYON,OK,29
CANAL,OK,33
OKANOGAN #3,OK,19
OKANOGAN #1,OK,31
COLUMBIA,OK,17
OKANOGAN #7,OK,20
TWISP RURAL,OK,33
BONAPARTE,OK,28
GUSTY RIDGE,OK,34
OROVILLE #7,OK,29
ROSS CANYON,OK,42
OKANOGAN #9,OK,39
OROVILLE #4,OK,36
KIPLING,OK,31
LONGANECKER,OK,29
NORTH OMAK,OK,25
OMAK MTN,OK,18
AVIATION,OK,24
RAT LAKE,OK,31
WINTHROP #2,OK,32
OMAK #7,OK,36
OMAK #10,OK,46
TWIN LAKES,OK,55
OMAK #4,OK,32
MOLSON,OK,58
YARNELL,OK,25
WHITESTONE,OK,30
CHEWILIKEN,OK,20
COULEE DAM #4,OK,31
OMAK #3,OK,18
HAVILLAH,OK,53
OMAK #20,OK,42
PINE CREEK,OK,41
EDELWEISS,OK,35
BUFFALO LAKE,OK,18
POORMAN CREEK,OK,67
CHESAW,OK,39
PATEROS RURAL,OK,37
CAYUSE MTN,OK,24
SOURDOUGH,OK,55
HIGHWAY,OK,18
DAVIS LAKE,OK,35
LEECHER MTN,OK,48
SOUTH OROVILLE,OK,50
BEEMAN,OK,63
MYERS CREEK,OK,21
BLUE LAKE,OK,51
POGUE,OK,64
MONSE #3,OK,32
TORODA,OK,51
MONSE #1,OK,51
BOUNDARY,OK,40
OMAK #9,OK,61
TONASKET #6,OK,25
SAN POIL,OK,60
LAKE ANDREWS,OK,38
ENGH,OK,57
OKANOGAN #2,OK,41
ANTOINE CREEK,OK,27
BRIDGE CREEK,OK,18
RIVERSIDE RURAL,OK,89
SPRING COULEE,OK,54
SPECTACLE LAKE,OK,40
AIRPORT,OK,44
DULEY LAKE,OK,21
OROVILLE #9,OK,28
FLATS,OK,41
WINTHROP #1,OK,54
OROVILLE #5,OK,37
OROVILLE #6,OK,21
CROSSROADS,OK,32
OROVILLE #1,OK,33
OROVILLE #2,OK,26
OROVILLE #3,OK,24
LIBBY CREEK,OK,55
OKANOGAN RURAL,OK,32
OKANOGAN #4,OK,39
WEST RIVER,OK,24
BALKY HILL,OK,32
COPPLE,OK,48
OKANOGAN #5,OK,40
MISSION,OK,23
NESPELEM RURAL,OK,22
PATTERSON LAKE,OK,45
MCGINNIS LAKE,OK,12
HORSESHOE LAKE,OK,33
OKANOGAN #8,OK,28
NICHOLS,OK,29
CONCONULLY CITY,OK,66
ORCHARD,OK,29
ELMER CITY,OK,60
MCCLURE MTN,OK,50
ALTA LAKE,OK,35
PEARRYGIN LAKE,OK,26
COLEMAN BUTTE,OK,42
TWISP #4,OK,21
JOHNSON CREEK,OK,45
TWISP #3,OK,48
TWISP #1,OK,48
DUFFYS MTN,OK,25
LOOMIS,OK,53
RIVERSIDE CITY,OK,65
SHORELINE,OK,30
SIMILKAMEEN,OK,30
PIONEER,OK,45
CRUMBACHER,OK,65
OMAK #11,OK,67
OMAK #12,OK,43
LONE PINE,OK,19
OMAK #14,OK,27
OMAK #15,OK,52
OMAK #16,OK,37
OMAK #17,OK,54
PICKENS MTN,OK,29
EDER,OK,45
WANNACUT,OK,62
CAPE LABELLE,OK,24
DIXON,OK,42
JANIS,OK,33
SIWASH CREEK,OK,35
BOSTON,OK,56
CHEROKEE,OK,53
RANCHES,OK,16
WOLF CREEK,OK,38
HENDRICK,OK,61
ELMERTON,OK,75
TONASKET #4,OK,31
FRONTAGE,OK,17
LEESE,OK,19
TONASKET #1,OK,25
OKANOGAN #11,OK,48
TONASKET #3,OK,18
TONASKET #2,OK,30
KERMEL,OK,49
ANGLIN,OK,63
OMAK LAKE,OK,25
SAND FLAT,OK,58
MALOTT,OK,73
DISAUTEL,OK,18
BREWSTER #5,OK,26
BODIE,OK,19
CHILIWIST,OK,43
TONASKET #5,OK,24
AENEAS,OK,37
COULEE DAM #3,OK,32
COULEE DAM #2,OK,37
COULEE DAM #1,OK,51
WESTLAKE,OK,31
TONASKET #7,OK,43
LEWIS BUTTE,OK,48
STARR,OK,29
OKANOGAN #10,OK,42
BEAVER CREEK,OK,25
NORTH MALOTT,OK,63
OKANOGAN #12,OK,24
WAUCONDA,OK,37
WINTHROP RURAL,OK,55
DUCK LAKE,OK,25
EASTSIDE,OK,68
HUDSON,OK,25
NIGHTHAWK,OK,16
CONCONULLY RURAL,OK,35
ANTOINE PEAK,OK,19
OROVILLE #10,OK,36
OMAK #18,OK,26
TWISP #2,OK,38
EASTLAKE,OK,24
Total,OK,8318
MOCK,OK,42
